question,grading_notes,original_question,original_grading_notes,original_order,paraphrase_order,evaluation_category,retriever,response,score
What city serves as Mali's capital and largest urban center?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,1,factual_retrieval,hybrid,"Mali’s capital and largest urban center is **Bamako** — the excerpts say, “**Its capital and largest city is Bamako**” and “**Capital and largest city Bamako**.”",pass
"According to the article's opening text, who was Egypt's last pharaoh of native origin?",A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,1,factual_retrieval,hybrid,"According to the opening text, Egypt’s last pharaoh of native origin was **Nectanebo II**. The excerpt says: “**The last native king Nectanebo II**” and “**The last native pharaoh was Nectanebo II**.”",pass
"Which two principal alliances opposed each other during World War II, according to the lead?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,0,multi_fact,hybrid,The lead says World War II was “a global conflict between two coalitions: **the Allies and the Axis powers**.”,pass
Does the available Wikipedia collection provide a current population figure for Mars? Explain the limitation instead of inventing a number.,A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,1,out_of_corpus_abstention,hybrid,"The available excerpts do **not** provide a current population figure for Mars.

What they do show is that the Mars-related excerpt is about **Martian canals** and Percival Lowell’s observations, not Mars’s population: it says Lowell believed the canals were “evidence of life on Mars,” and lists his books on the subject. But there is **no population statistic** for Mars in the provided material.

So I can’t give a number without inventing one.",pass
Reproduce the first sentence of the '13 (2010 film)' Wikipedia article word for word.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,0,quotation_fidelity,hybrid,“13” is a 2010 thriller film directed by Géla Babluani.,fail
"How did Einstein's and Stilwell's main contributions differ, and what historical settings shaped them? Cite one supporting passage from each person's article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,1,cross_document_synthesis,hybrid,"Einstein’s main contribution was **theoretical physics**, especially relativity and the photoelectric effect. The excerpt says: **“Einstein also made important contributions to quantum theory… He received the 1921 Nobel Prize in Physics for ‘his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect.’”** His historical setting was the late-19th- and early-20th-century German/Swiss scientific world; the excerpt notes he was **“Born as a subject to the Kingdom of Württemberg, part of the German Empire”** and later studied in Switzerland and worked at the patent office in Bern.

Stilwell’s main contribution was **military leadership in the China-Burma-India theater during World War II**. The excerpt says: **“Joseph Warren ‘Vinegar Joe’ Stilwell … was a United States Army general who served in the China Burma India theater during World War II.”** His historical setting was the Pacific-Asian war against Japan, especially in China and Burma; the excerpt adds that **“After being defeated by the Japanese in 1942, Stilwell became an early American popular hero of the war for leading a column walking out of Burma on foot.”**

So, in short: Einstein was a **scientific theorist** shaped by early-20th-century European physics, while Stilwell was a **wartime general** shaped by World War II in Asia.",pass
What were the two major wartime blocs identified in the opening text about World War II?,A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,1,multi_fact,hybrid,The two major wartime blocs were the **Allies** and the **Axis**. The excerpt from *World War II* lists the “**Belligerents**” as “**Allies**” and “**Axis**.”,pass
What is the exact opening sentence of the Wikipedia entry for the film '13' released in 2010?,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,1,quotation_fidelity,hybrid,"The retrieved excerpts do not include the film’s exact opening sentence, so I can’t provide it from the provided text.",fail
"By what nickname was Joseph Warren Stilwell known, and in which World War II theater did he serve as a U.S. Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,0,multi_fact,hybrid,Joseph Warren Stilwell was known as **“Vinegar Joe”**. He served as a U.S. Army general in the **China Burma India theater** during World War II: “**he served in the China Burma India theater during World War II**.”,pass
"Using the relevant Wikipedia articles, compare what Albert Einstein and Joseph Warren Stilwell were known for and the historical circumstances that influenced each of them. Include a quotation for both people.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,0,cross_document_synthesis,hybrid,"Albert Einstein and Joseph Warren Stilwell were known for very different things:

- **Albert Einstein** was a **“German-born theoretical physicist”** and is listed as being **“Known for General relativity Special relativity Photoelectric effect E = mc”**. The excerpt also shows that he lived through major changes in nationality and era, including being **“Stateless (1896–1901)”** and later **“U.S. (from 1940)”**, which reflects the historical circumstances surrounding his life.

  **Quotation:** “German-born theoretical physicist (1879–1955)”

- **Joseph Warren Stilwell** was a **“United States Army general”** who served **“in the China Burma India theater during World War II”**. He was also **“deputy for both Lord Louis Mountbatten, and Chiang Kai-shek”**. The excerpt says that **“After being defeated by the Japanese in 1942, Stilwell became an early American popular hero of the war for leading a column walking out of Burma on foot.”** His career was shaped by **World War II in Asia** and by conflicts with allied leaders.

  **Quotation:** “After being defeated by the Japanese in 1942, Stilwell became an early American popular hero of the war for leading a column walking out of Burma on foot.”

**Comparison:** Einstein is presented as a scientist known for foundational physics theories, while Stilwell is presented as a military leader known for his role in World War II. Einstein’s life was influenced by shifting national identities and emigration, whereas Stilwell’s reputation was formed in the context of the China-Burma-India theater and the wartime struggle against Japan.",pass
Which Egyptian ruler was identified as the final native pharaoh in the lead?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,0,factual_retrieval,hybrid,Nectanebo II. The lead says: “**Last native king Nectanebo II c. 360–342 BC**” and “**The last native pharaoh was Nectanebo II**.”,pass
"Which people created Norman Gunston, and how is this television persona characterized?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,0,obscure_knowledge,hybrid,"Norman Gunston was created by **Garry McDonald** and **Wendy Skelcher**. The excerpt says it was “**Created by Wendy Skelcher and Garry McDonald**,” and also notes that the character was “**originally conceived for a sketch by comedy writer Wendy Skelcher**” and that “**Cast member Garry McDonald portrayed Gunston**.”

He is characterized as “**a satirical TV character**” and also as “**a dull and talentless local TV reporter**” from Wollongong. Another excerpt describes him as “**the unlikely host of his own national TV variety show**.”",pass
"What did people call Stilwell, and what World War II theater was he assigned to as an American general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,1,multi_fact,hybrid,"People called him **“Vinegar Joe”** — the excerpts also list nicknames **“Uncle Joe”** and **“Stitch.”** He was assigned to the **China-Burma-India Theater** during World War II, quoted as serving “**in the China Burma India theater during World War II**.”",pass
"How many people currently live on Mars? If the corpus does not contain this information, say so explicitly.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,0,out_of_corpus_abstention,hybrid,The corpus does not contain information about how many people currently live on Mars.,pass
"Who were the creators of Norman Gunston, and what type of fictional TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,1,obscure_knowledge,hybrid,"Norman Gunston was created by **Wendy Skelcher and Garry McDonald**: the article says, **“Created by Wendy Skelcher and Garry McDonald.”** It also notes that the character **“was originally conceived for a sketch by comedy writer Wendy Skelcher”** and was portrayed by Garry McDonald.

He was a **satirical TV character** — specifically, **“a satirical TV character performed by Australian actor and comedian Garry McDonald”** and **“a dull and talentless local TV reporter.”**",pass
Which city is both the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,0,factual_retrieval,hybrid,The city is **Bamako** — the excerpts say Mali’s “**capital and largest city**” is Bamako.,pass
