question,grading_notes,original_question,original_grading_notes,original_order,paraphrase_order,evaluation_category,retriever,response,score
"Which people created Norman Gunston, and how is this television persona characterized?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,0,obscure_knowledge,graph,"Norman Gunston was created by **Wendy Skelcher and Garry McDonald**: the excerpt says, “**The Gunston character was originally conceived for a sketch by comedy writer Wendy Skelcher**” and the infobox lists him as “**Created by Wendy Skelcher and Garry McDonald**.”

He is characterized as “**a satirical TV character**” and, more specifically, “**a dull and talentless local TV reporter from the industrial city of Wollongong**.” The article also calls him “**the little Aussie bleeder**,” and says he “**satirised parochial Australian culture, media ‘personalities’ and egocentric talk show hosts**.”",pass
Does the available Wikipedia collection provide a current population figure for Mars? Explain the limitation instead of inventing a number.,A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,1,out_of_corpus_abstention,graph,"No. The available excerpts about Mars/TGO describe atmospheric observations and water loss, but they do not provide any current population figure for Mars. I can’t infer or invent one from these excerpts.",pass
"Who were the creators of Norman Gunston, and what type of fictional TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,1,obscure_knowledge,graph,"Norman Gunston was created by **Wendy Skelcher and Garry McDonald**. He was a **“satirical TV character”** — the excerpt says, “**Norman Gunston is a satirical TV character performed by Australian actor and comedian Garry McDonald**.”",pass
"Using the relevant Wikipedia articles, compare what Albert Einstein and Joseph Warren Stilwell were known for and the historical circumstances that influenced each of them. Include a quotation for both people.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,0,cross_document_synthesis,graph,"I’m sorry, but the provided excerpts do not include enough information about **Joseph Warren Stilwell** to compare him with Albert Einstein.

From the excerpts, Albert Einstein is described as a scientist associated with the Albert Einstein Medal, which is awarded for **“scientific findings, works, or publications related to Albert Einstein”** and is named for him. The excerpts also reference Einstein’s broader biography article, but they do not give a clear summary of what he was known for.

For **Joseph Warren Stilwell**, no relevant excerpt was provided, so I can’t accurately describe what he was known for or the historical circumstances that influenced him without speculating.",fail
Which city is both the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,0,factual_retrieval,graph,"Bamako — the excerpt says, “Its capital and largest city is Bamako.”",pass
"By what nickname was Joseph Warren Stilwell known, and in which World War II theater did he serve as a U.S. Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,0,multi_fact,graph,"Joseph Warren Stilwell was known as **""Vinegar Joe""**. He served in the **China Burma India theater** during World War II.",pass
"How did Einstein's and Stilwell's main contributions differ, and what historical settings shaped them? Cite one supporting passage from each person's article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,1,cross_document_synthesis,graph,"The retrieved excerpts do **not** contain enough information to compare Einstein’s and Stilwell’s main contributions or the historical settings that shaped them.

What I can support from the excerpts is only this about Einstein-related material:

- The Albert Einstein Medal is “an award presented by the Albert Einstein Society in Bern” and is given for “scientific findings, works, or publications related to Albert Einstein.”

But the excerpts provided do **not** include the specific article text for **Stilwell**, nor enough biographical detail about **Einstein** to answer the comparison asked. If you provide the relevant Wikipedia excerpts for both people, I can compare them and cite one passage from each.",fail
What city serves as Mali's capital and largest urban center?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,1,factual_retrieval,graph,"I’m sorry, but the provided excerpts do not contain information about Mali’s capital or largest urban center.",fail
"What did people call Stilwell, and what World War II theater was he assigned to as an American general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,1,multi_fact,graph,"People called Joseph W. Stilwell **“Vinegar Joe,” “Uncle Joe,”** and **“Stitch.”** He was assigned to the **China Burma India theater during World War II** as a United States Army general.",pass
"How many people currently live on Mars? If the corpus does not contain this information, say so explicitly.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,0,out_of_corpus_abstention,graph,The corpus does not contain information about how many people currently live on Mars.,pass
