question,grading_notes,original_question,original_grading_notes,original_order,paraphrase_order,evaluation_category,retriever,response,score
What were the two major wartime blocs identified in the opening text about World War II?,A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,1,multi_fact,lexical,The excerpted text does not identify the two wartime blocs. It only says that Poland was split between Nazi Germany and the Soviet Union after the invasions.,fail
Reproduce the first sentence of the '13 (2010 film)' Wikipedia article word for word.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,0,quotation_fidelity,lexical,"I’m sorry, but the provided excerpts do not include the first sentence of the **“13 (2010 film)”** Wikipedia article, so I can’t reproduce it word for word from the given material.",fail
Which city is both the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,0,factual_retrieval,lexical,"Bamako — the excerpt says, “Capital and largest city Bamako.”",pass
Which Egyptian ruler was identified as the final native pharaoh in the lead?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,0,factual_retrieval,lexical,The final native pharaoh was **Nectanebo II**. The excerpt says: “**The last native pharaoh was Nectanebo II of the short-lived 30th Dynasty**.”,pass
"Using the relevant Wikipedia articles, compare what Albert Einstein and Joseph Warren Stilwell were known for and the historical circumstances that influenced each of them. Include a quotation for both people.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,0,cross_document_synthesis,lexical,"From the excerpts provided, **Albert Einstein** is described as a physicist associated with the Albert Einstein Medal, which is “presented to people for **‘scientific findings, works, or publications related to Albert Einstein’**.” The excerpt for his article also points to his work on “**Fundamental ideas and problems of the theory of relativity**,” showing that he was known for scientific theory and physics.

For **Joseph Warren Stilwell**, the excerpt mainly shows him as a military figure: it mentions “**Joseph Warren Stilwell papers**” and identifies him in the context of “**United States Army Officers 1939–1945**” and “**Generals of World War II**.” This suggests he was known for his Army leadership during World War II.

In terms of historical circumstances, the excerpts indicate that Einstein’s reputation is tied to scientific work and the broader development of modern physics, while Stilwell’s is tied to wartime military service during **World War II**. However, the provided excerpts do not give enough detail to compare their historical circumstances more fully.

Quotations:
- **Einstein:** “**Fundamental ideas and problems of the theory of relativity**.”
- **Stilwell:** “**Generals of World War II**.”",pass
Does the available Wikipedia collection provide a current population figure for Mars? Explain the limitation instead of inventing a number.,A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,1,out_of_corpus_abstention,lexical,"No. The provided excerpts about Mars only mention the Trace Gas Orbiter observing atmospheric effects, such as “accelerated water loss from the atmosphere” and an “intense injection of water vapor,” but they do not give any current population figure for Mars. So the available collection is insufficient to answer with a number.",fail
"Which people created Norman Gunston, and how is this television persona characterized?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,0,obscure_knowledge,lexical,Norman Gunston was created by **Wendy Skelcher and Garry McDonald**. The excerpt describes him as **“a satirical TV character”** and says he was **“the unlikely host of his own national TV variety show”** and **“The Little Aussie Bleeder.”**,pass
"How many people currently live on Mars? If the corpus does not contain this information, say so explicitly.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,0,out_of_corpus_abstention,lexical,The corpus does not contain information about how many people currently live on Mars.,pass
"Which two principal alliances opposed each other during World War II, according to the lead?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,0,multi_fact,lexical,"According to the lead, World War II was fought between two principal alliances: **the Allies and the Axis powers**.",pass
What city serves as Mali's capital and largest urban center?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,1,factual_retrieval,lexical,"According to the excerpt, Mali’s “capital and largest city is Bamako.”",pass
