question,grading_notes,original_question,original_grading_notes,original_order,paraphrase_order,evaluation_category,retriever,response,score
"How did Einstein's and Stilwell's main contributions differ, and what historical settings shaped them? Cite one supporting passage from each person's article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,1,cross_document_synthesis,semantic,"The excerpts show very different main contributions:

- **Einstein** is described as making a major scientific contribution in physics, especially through his work that “would eventually lead to his general theory of relativity,” which “became (after its confirmation) the start of Einstein’s worldwide fame.” The historical setting here is early 20th-century theoretical physics, including his 1907 paper and the development of relativity.

- **Stilwell** is shown as a **military leader**, especially in the context of **World War II and China**. The excerpt says, “Between the wars, Stilwell served three tours in China, where he mastered spoken and written Chinese,” and later notes that he was organizing and training an infantry division in the U.S. on the eve of the war. His historical setting was the military world of the interwar period and World War II, especially China.

Supporting passages:
- Einstein: “Einstein began a line of thought that would eventually lead to his general theory of relativity…”
- Stilwell: “Between the wars, Stilwell served three tours in China, where he mastered spoken and written Chinese…”",pass
Which Egyptian ruler was identified as the final native pharaoh in the lead?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,0,factual_retrieval,semantic,"The excerpt identifies **Nectanebo II** as the **“last native king”** and says, “**The last native pharaoh was Nectanebo II** of the short-lived 30th Dynasty.”",pass
"Which people created Norman Gunston, and how is this television persona characterized?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,0,obscure_knowledge,semantic,"Norman Gunston was created by **Wendy Skelcher and Garry McDonald**: the excerpt says the character was “**Originally conceived for a sketch by comedy writer Wendy Skelcher**” and the article infobox lists him as “**Created by Wendy Skelcher and Garry McDonald**.”

He is characterized as **“a satirical TV character”** and also as “**a dull and talentless local TV reporter from the industrial city of Wollongong**.”",pass
Which city is both the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,0,factual_retrieval,semantic,The capital and largest city of Mali is **Bamako**. The excerpt says: “**Its capital and largest city is Bamako**.”,pass
What were the two major wartime blocs identified in the opening text about World War II?,A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,1,multi_fact,semantic,"The excerpt identifies the two major wartime blocs as **the Allied powers** and **the Axis powers**. It says the Allies were “the Soviet Union, China, the United Kingdom, and the United States,” and refers to “the Axis powers” as the opposing bloc.",pass
"Who were the creators of Norman Gunston, and what type of fictional TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,1,obscure_knowledge,semantic,"Norman Gunston was created by **Wendy Skelcher and Garry McDonald**. He was a **“satirical TV character”**—specifically, the excerpt describes him as an **“Australian TV character”** and a **“satirical TV character performed by Australian actor and comedian Garry McDonald.”**",pass
"By what nickname was Joseph Warren Stilwell known, and in which World War II theater did he serve as a U.S. Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,0,multi_fact,semantic,"Joseph Warren Stilwell was known by the nickname **“Vinegar Joe”** — the excerpt says **“Joseph Warren ‘Vinegar Joe’ Stilwell”** and lists nicknames including **“Vinegar Joe,” “Uncle Joe,” “Stitch.”** He served in the **China Burma India theater** during World War II, as stated: **“Stilwell ... served in the China Burma India theater during World War II.”**",pass
Does the available Wikipedia collection provide a current population figure for Mars? Explain the limitation instead of inventing a number.,A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,1,out_of_corpus_abstention,semantic,"No. The provided excerpts are from pages like **Apollo 12**, **List of Apollo missions**, **Apollo 11**, and an **ExoMars**-related page, and they do **not** include any current population figure for Mars. Since the collection only contains those snippets, there isn’t enough information here to answer with a number.",fail
What city serves as Mali's capital and largest urban center?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,1,factual_retrieval,semantic,"Bamako serves as Mali’s capital and largest urban center: the excerpt says, “Its capital and largest city is Bamako,” and also lists “Bamako” as “Capital and largest city.”",pass
"Which two principal alliances opposed each other during World War II, according to the lead?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,0,multi_fact,semantic,"According to the lead, the two principal alliances were the **Allies** and the **Axis powers**. The excerpt says: “The Tripartite Pact formally united Japan, Italy, and Germany as the **Axis powers**,” and later refers to the “Allied Big Four” during the war.",pass
