question,grading_notes,retriever,response,score
"What is the area of Auckland Island, and what UNESCO status does it have?",A correct answer must state that Auckland Island has a land area of about 442.5 km² (170.9 sq mi) and that it is inscribed on the UNESCO World Heritage list together with the other New Zealand Subantarctic Islands.,hybrid,Auckland Island has an area of **442.5 km² (170.9 sq mi)**. It “**is inscribed in the UNESCO World Heritage list together with the other New Zealand Subantarctic Islands in the region**.”,pass
"What day is Christmas usually observed, and what historical event is it commemorating?",A correct answer must state that Christmas is observed primarily on December 25 and that it commemorates the birth of Jesus Christ.,hybrid,"Christmas is “usually observed on December 25,” and it is a “religious and cultural celebration” whose significance is the “commemoration of the nativity of Jesus” — that is, the birth of Jesus Christ.",pass
"What has Ypsilanti, Michigan been known as the home of since it was founded in 1849?","Correct answers must identify Eastern Michigan University, and may mention that it was formerly called Michigan State Normal College or that it was Michigan’s first normal school (teachers’ college).",hybrid,Ypsilanti has been known as the home of **Eastern Michigan University** since its founding in 1849: it is “known for being the home of Eastern Michigan University … since the university’s founding as Michigan’s first normal school (teachers’ college) in 1849.”,pass
Which manga series created by Akira Toriyama first made him widely known and earned him the 1981 Shogakukan Manga Award for best shōnen series?,Correct answer must name Dr. Slump and indicate that it was the series that first brought Toriyama mainstream recognition and won the 1981 Shogakukan Manga Award for best shōnen series.,hybrid,"Akira Toriyama first achieved mainstream recognition with **Dr. Slump**. The excerpt says, “**He first achieved mainstream recognition for creating the manga series Dr. Slump**,” and that “**In 1981, Dr. Slump earned Toriyama the Shogakukan Manga Award for best shōnen or shōjo manga series of the year.**”",pass
"Which NFL team picked Lee Vaughn, and what round was he chosen in?",A correct answer must name the Dallas Cowboys and state that he was selected in the sixth round of the 1997 NFL draft (187th overall is optional but acceptable).,hybrid,Lee Vaughn was picked by the **Dallas Cowboys** in the **sixth round**. The excerpt says he was “selected by the Dallas Cowboys in the sixth round (187th overall) of the 1997 NFL draft.”,pass
"Which American actor, filmmaker, and musician was born on May 31, 1930, gained fame through Rawhide and the Dollars Trilogy, and later became mayor of Carmel-by-the-Sea, California?","Correct answer must identify Clint Eastwood (Clinton Eastwood Jr.). It should mention his birth date or at least that he was born in 1930, and include at least one of the fame/role clues (Rawhide, the Man with No Name, or mayor of Carmel-by-the-Sea).",hybrid,"Clint Eastwood. The excerpt says: “Clinton Eastwood Jr. (born May 31, 1930) is an American actor, filmmaker and musician,” and that he “rose to international fame” through “Rawhide” and “Sergio Leone’s Dollars Trilogy,” and was “elected in 1986” and “served for two years as the mayor of Carmel-by-the-Sea, California.”",pass
Which two universities in England are described as the oldest in the English-speaking world?,A correct answer must name both universities: the University of Oxford and the University of Cambridge.,hybrid,"The two universities are **the University of Oxford** and **the University of Cambridge**.

The England excerpt says: “**England is home to the two oldest universities in the English-speaking world: the University of Oxford … and the University of Cambridge**.”",pass
"How large is Auckland Island, and what UNESCO designation is it recognized under?",A correct answer must state that Auckland Island has a land area of about 442.5 km² (170.9 sq mi) and that it is inscribed on the UNESCO World Heritage list together with the other New Zealand Subantarctic Islands.,hybrid,"Auckland Island has a land area of about **442.5 km² (170.9 sq mi)**, and it “**is inscribed in the UNESCO World Heritage list** together with the other New Zealand Subantarctic Islands in the region.”",pass
Which company originally created and sold the Frappuccino before Starbucks acquired the Coffee Connection?,"Correct answer must identify George Howell’s Eastern Massachusetts coffee shop chain, the Coffee Connection, as the original developer and seller of the Frappuccino. Mentioning Andrew Frank as the marketing director who created and named it is acceptable but not required.",hybrid,"The Frappuccino was “originally developed, trademarked, and sold by **George Howell’s Eastern Massachusetts coffee shop chain the Coffee Connection**.”",pass
"What is Ypsilanti, Michigan famous for being home to since its establishment in 1849?","Correct answers must identify Eastern Michigan University, and may mention that it was formerly called Michigan State Normal College or that it was Michigan’s first normal school (teachers’ college).",hybrid,"Ypsilanti is famous for being home to **Eastern Michigan University**. The excerpt says it is ""known for being the home of **Eastern Michigan University** ... since the university's founding as Michigan's first normal school (teachers' college) in **1849**.""",pass
What Akira Toriyama manga brought him mainstream fame and won the 1981 Shogakukan Manga Award for best shōnen series?,Correct answer must name Dr. Slump and indicate that it was the series that first brought Toriyama mainstream recognition and won the 1981 Shogakukan Manga Award for best shōnen series.,hybrid,"Akira Toriyama’s manga **_Dr. Slump_** brought him mainstream recognition and won him the 1981 Shogakukan Manga Award. The excerpt says it “**first achieved mainstream recognition for creating the manga series _Dr. Slump_**” and that “**In 1981, _Dr. Slump_ earned Toriyama the Shogakukan Manga Award for best shōnen or shōjo manga series of the year.**”",pass
"In what years was the Ministry of Digital Affairs in Poland created, abolished, and created again?","Correct answer must mention all three dates/events: founded in December 2015, dissolved in October 2020, and founded again in May 2023.",hybrid,"The excerpt says the Ministry of Digital Affairs was ""founded in December 2015, dissolved in October 2020 and founded again in May 2023."" So the years are **2015**, **2020**, and **2023**.",pass
