question,grading_notes,original_question,original_grading_notes,original_order,paraphrase_order,evaluation_category,retriever,response,score
"Which people created Norman Gunston, and how is this television persona characterized?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,0,obscure_knowledge,lexical,"Norman Gunston was created by **Wendy Skelcher and Garry McDonald**: the excerpt says, “**Norman Gunston is a satirical TV character performed by Australian actor and comedian**” and lists him as “**Created by Wendy Skelcher and Garry McDonald**.”

He is characterized as a **“satirical TV character”** and, in the infobox, as a **“Television Reporter”** with the nickname **“The Little Aussie Bleeder.”**",pass
"Who were the creators of Norman Gunston, and what type of fictional TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,1,obscure_knowledge,lexical,Norman Gunston was created by **Wendy Skelcher and Garry McDonald**. He was a **satirical TV character**—the excerpts describe him as “**a satirical TV character performed by Australian actor and comedian Garry McDonald**.”,pass
Does the available Wikipedia collection provide a current population figure for Mars? Explain the limitation instead of inventing a number.,A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,1,out_of_corpus_abstention,lexical,"No. The provided excerpts do not give a current population figure for Mars. They only mention Mars-related atmospheric observations from the Trace Gas Orbiter, not any population data. So the available collection is insufficient to answer that question without inventing a number.",fail
Which Egyptian ruler was identified as the final native pharaoh in the lead?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,0,factual_retrieval,lexical,"The excerpt says, ""The last native pharaoh was **Nectanebo II** of the short-lived 30th Dynasty.""",pass
What were the two major wartime blocs identified in the opening text about World War II?,A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,1,multi_fact,lexical,"The excerpts do not identify the “two major wartime blocs” in the opening text about World War II, so I can’t answer that from the provided text alone.",fail
"How many people currently live on Mars? If the corpus does not contain this information, say so explicitly.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,0,out_of_corpus_abstention,lexical,The provided excerpts do not contain information about how many people currently live on Mars.,pass
What city serves as Mali's capital and largest urban center?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,1,factual_retrieval,lexical,"According to the excerpt, **Bamako** is “its capital and largest city.”",pass
What is the exact opening sentence of the Wikipedia entry for the film '13' released in 2010?,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,1,quotation_fidelity,lexical,"I’m sorry, but the provided excerpts do not include the Wikipedia entry for the film **13 (2010)**, so I can’t determine its exact opening sentence from the given text.",fail
"What did people call Stilwell, and what World War II theater was he assigned to as an American general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,1,multi_fact,lexical,People called him **“Vinegar Joe”** (also **“Uncle Joe”** and **“Stitch”**). The excerpt says that in February 1942 he was assigned to the **China-Burma-India Theater (CBI)**.,pass
"How did Einstein's and Stilwell's main contributions differ, and what historical settings shaped them? Cite one supporting passage from each person's article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,1,cross_document_synthesis,lexical,"The excerpts provided do not contain enough information to compare Einstein’s and Stilwell’s main contributions or the historical settings that shaped them.

From Einstein’s article, the only directly relevant passage is about his work on quantum theory:
> “In 1907, Einstein proposed a model of matter where each atom in a lattice structure is an independent harmonic oscillator... he nevertheless proposed this theory because it was a particularly clear demonstration that quantum mechanics could solve the specific heat problem in classical mechanics.”

But I do not have any excerpt from Stilwell’s article, so I can’t quote a supporting passage from his article or make the comparison requested.",fail
Which city is both the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,0,factual_retrieval,lexical,"Bamako — the excerpt says, “Capital and largest city Bamako.”",pass
"By what nickname was Joseph Warren Stilwell known, and in which World War II theater did he serve as a U.S. Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,0,multi_fact,lexical,"Joseph Warren Stilwell was known as **""Vinegar Joe""**. He served in the **China Burma India theater** during World War II.",pass
"Using the relevant Wikipedia articles, compare what Albert Einstein and Joseph Warren Stilwell were known for and the historical circumstances that influenced each of them. Include a quotation for both people.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,0,cross_document_synthesis,lexical,"From the excerpts provided, there is only enough information to say that **Albert Einstein** is associated with scientific work, while **Joseph Warren Stilwell** is shown in the context of a U.S. Army career.

- **Albert Einstein**: The excerpt does not describe his full biography, but it does say the Albert Einstein Medal is awarded for **“scientific findings, works, or publications related to Albert Einstein”** and includes a reference to “Albert Einstein at Wikipedia’s sister projects.” This supports that Einstein was known for scientific work.  
  - Quotation: **“scientific findings, works, or publications related to Albert Einstein”**

- **Joseph Warren Stilwell**: The excerpt shows he was a military figure, listing him among **“United States Army Officers 1939–1945”** and **“Generals of World War II.”** That indicates he was known for military leadership during the World War II era.  
  - Quotation: **“United States Army Officers 1939–1945”** and **“Generals of World War II”**

However, the provided excerpts do **not** contain enough detail to compare the specific historical circumstances that influenced each man. For Einstein, no circumstances are given in the excerpts; for Stilwell, only his military role and wartime categorization appear.",fail
"Which two principal alliances opposed each other during World War II, according to the lead?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,0,multi_fact,lexical,"According to the lead, World War II was fought between **the Allies** and **the Axis powers**.",pass
"According to the article's opening text, who was Egypt's last pharaoh of native origin?",A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,1,factual_retrieval,lexical,"According to the excerpt, Egypt’s **last native pharaoh was Nectanebo II**. The text says: “**The last native pharaoh was Nectanebo II** of the short-lived 30th Dynasty.”",pass
Reproduce the first sentence of the '13 (2010 film)' Wikipedia article word for word.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,0,quotation_fidelity,lexical,"I’m sorry, but the provided excerpts do not include the Wikipedia article **“13 (2010 film)”**, so I can’t reproduce its first sentence word for word from the available text.",fail
