question,grading_notes,original_question,original_grading_notes,original_order,paraphrase_order,evaluation_category,retriever,response,score
Which city is both the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,0,factual_retrieval,hybrid,The capital and largest city of Mali is **Bamako**. The excerpt says: “**Capital and largest city Bamako**.”,pass
Does the available Wikipedia collection provide a current population figure for Mars? Explain the limitation instead of inventing a number.,A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,1,out_of_corpus_abstention,hybrid,"No. The provided excerpts do not include any current population figure for Mars. They discuss the Trace Gas Orbiter, Benjamin Franklin, and the periodic table, but nothing about Mars’s population. So I can’t give a number from this collection without guessing.",fail
"What did people call Stilwell, and what World War II theater was he assigned to as an American general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,1,multi_fact,hybrid,People called Joseph Stilwell **“Vinegar Joe”**; the excerpt also lists nicknames **“Uncle Joe”** and **“Stitch.”** He was assigned to the **China-Burma-India Theater (CBI)** in World War II: “**Stilwell was promoted to lieutenant general and was assigned to the China-Burma-India Theater (CBI)**.”,pass
"By what nickname was Joseph Warren Stilwell known, and in which World War II theater did he serve as a U.S. Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,0,multi_fact,hybrid,Joseph Warren Stilwell was known by the nickname **“Vinegar Joe”**. He served in the **China Burma India theater** during World War II.,pass
"Which people created Norman Gunston, and how is this television persona characterized?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,0,obscure_knowledge,hybrid,"Norman Gunston was created by **Wendy Skelcher and Garry McDonald**. The article characterizes him as **“a satirical TV character”** and, in the infobox, gives his occupation as **“Television Reporter”** with the nickname **“The Little Aussie Bleeder.”**",pass
What is the exact opening sentence of the Wikipedia entry for the film '13' released in 2010?,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,1,quotation_fidelity,hybrid,"The provided Wikipedia excerpts do not contain the article for the film **“13” (2010)**, so I can’t determine its exact opening sentence from these documents.",fail
What were the two major wartime blocs identified in the opening text about World War II?,A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,1,multi_fact,hybrid,The opening text identifies the two major wartime blocs as **the Allied Powers** and **the Axis Powers**.,pass
"Who were the creators of Norman Gunston, and what type of fictional TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,1,obscure_knowledge,hybrid,Norman Gunston was created by **Wendy Skelcher and Garry McDonald**. The excerpt also describes him as an **“Australian TV character”** and a **“satirical TV character”** performed by Garry McDonald.,pass
What city serves as Mali's capital and largest urban center?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,1,factual_retrieval,hybrid,"According to the excerpt, Mali’s “capital and largest city is **Bamako**.”",pass
"How many people currently live on Mars? If the corpus does not contain this information, say so explicitly.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,0,out_of_corpus_abstention,hybrid,The provided excerpts do not say how many people currently live on Mars.,pass
