question,grading_notes,original_question,original_grading_notes,original_order,paraphrase_order,evaluation_category,retriever,response,score
"Using the relevant Wikipedia articles, compare what Albert Einstein and Joseph Warren Stilwell were known for and the historical circumstances that influenced each of them. Include a quotation for both people.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,0,cross_document_synthesis,semantic,"Albert Einstein was known for his groundbreaking scientific work and for becoming a cultural symbol of genius. The excerpts say he was so famous in America that people would stop him to ask about “that theory,” and that “his intellectual achievements and originality made Einstein broadly synonymous with genius.” He was also influenced by major historical circumstances such as war, nationalism, Zionism, and emigration to the United States, as suggested by the cited volume *Einstein on Politics: His Private Thoughts and Public Stands on Nationalism, Zionism, War, Peace, and the Bomb* and the biography section mentioning his “Emigration to the US (1933).” A fitting quotation from the excerpt is: “his intellectual achievements and originality made Einstein broadly synonymous with genius.”

I can’t fully compare him to Joseph Warren Stilwell from the provided excerpts, because no excerpt about Stilwell is included here. If you provide the Stilwell article excerpt, I can give a direct comparison with a quotation for him too.",fail
"How did Einstein's and Stilwell's main contributions differ, and what historical settings shaped them? Cite one supporting passage from each person's article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,1,cross_document_synthesis,semantic,"Einstein’s main contribution was scientific: in the excerpt, he is described as working on a paper where he used relativity-related ideas and “began a line of thought that would eventually lead to his general theory of relativity,” which “became… the start of Einstein’s worldwide fame.” This was shaped by the early 20th-century physics setting, especially the development of relativity and quantum ideas.

Supporting passage from Einstein’s article:
> “Einstein began a line of thought that would eventually lead to his general theory of relativity, which in turn became (after its confirmation) the start of Einstein's worldwide fame.”

Stilwell’s main contribution was military leadership and service: the excerpt says he “served three tours in China, where he mastered spoken and written Chinese” and later organized and trained an infantry division. His career was shaped by the historical setting of China between the wars and World War II.

Supporting passage from Stilwell’s article:
> “Between the wars, Stilwell served three tours in China, where he mastered spoken and written Chinese and was the military attaché at the US legation in Beijing from 1935 to 1939.”

So, Einstein contributed to theoretical physics in the context of modern scientific revolution, while Stilwell contributed as a military officer in the context of interwar China and World War II.",pass
"Which two principal alliances opposed each other during World War II, according to the lead?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,0,multi_fact,semantic,"According to the lead, the two principal alliances were **the Allies** and **the Axis powers**. The excerpt says the Tripartite Pact “formally united Japan, Italy, and Germany as the **Axis powers**,” while the opposing side is referred to as the **Allied** powers, including “the Allied Big Four.”",pass
Which city is both the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,0,factual_retrieval,semantic,The capital and largest city of Mali is **Bamako**. The excerpt says: “**Its capital and largest city is Bamako**.”,pass
Does the available Wikipedia collection provide a current population figure for Mars? Explain the limitation instead of inventing a number.,A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,1,out_of_corpus_abstention,semantic,"No. The provided excerpts do not contain a population figure for Mars. They are about Wikipedia page metadata and articles like **Apollo 11**, **Apollo 12**, **List of Apollo missions**, and an **ExoMars**-related page, but nothing here states a current population for Mars.

So the limitation is that the available collection does **not** include a Mars population entry, and I can’t infer or invent a number from these excerpts.",fail
Which Egyptian ruler was identified as the final native pharaoh in the lead?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,0,factual_retrieval,semantic,The final native pharaoh was **Nectanebo II**. The excerpt says: **“Last native king Nectanebo II c. 360–342 BC”** and **“The last native pharaoh was Nectanebo II of the short-lived 30th Dynasty”**.,pass
"What did people call Stilwell, and what World War II theater was he assigned to as an American general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,1,multi_fact,semantic,"People called Stilwell **“Uncle Joe”**: the excerpt says his leadership style “earned him the nickname of ‘Uncle Joe.’”

As for the World War II theater, he was assigned to the **China Burma India Theater**. The excerpt says he “served as US commander in the **China Burma India Theater**.”",fail
What is the exact opening sentence of the Wikipedia entry for the film '13' released in 2010?,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,1,quotation_fidelity,semantic,"The exact opening sentence is:

“13 is a 2010 American psychological crime thriller film directed by Géla Babluani (who also directed the original), stars Sam Riley, Ray Winstone, 50 Cent, Mickey Rourke and Jason Statham.”",fail
"By what nickname was Joseph Warren Stilwell known, and in which World War II theater did he serve as a U.S. Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,0,multi_fact,semantic,"Joseph Warren Stilwell was known as **""Vinegar Joe""** — the excerpt gives: *""Joseph Warren 'Vinegar Joe' Stilwell""*. He served in the **China Burma India theater** during World War II, as stated: *""he served in the China Burma India theater during World War II.""*",pass
"How many people currently live on Mars? If the corpus does not contain this information, say so explicitly.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,0,out_of_corpus_abstention,semantic,"The corpus does not contain this information, so I can’t say how many people currently live on Mars.",pass
