question,grading_notes,original_question,original_grading_notes,original_order,paraphrase_order,evaluation_category,retriever,response,score
"Which two principal alliances opposed each other during World War II, according to the lead?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,0,multi_fact,semantic,"The retrieved excerpt does not contain the lead text, so I can’t determine the two principal alliances from the provided material.",fail
What is the exact opening sentence of the Wikipedia entry for the film '13' released in 2010?,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,1,quotation_fidelity,semantic,"The excerpt does not include the exact opening sentence of the Wikipedia entry for the film **13**. It does say: **“13 is a 2010 American psychological crime thriller film directed by Géla Babluani ...”**, but that is not clearly identified as the entry’s opening sentence.",fail
"How did Einstein's and Stilwell's main contributions differ, and what historical settings shaped them? Cite one supporting passage from each person's article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,1,cross_document_synthesis,semantic,"I can’t answer that fully from the excerpts provided, because I only have a passage from **Stilwell’s** article and none from **Einstein’s** article.

From the Stilwell excerpt, his contribution was military leadership in the **China-Burma-India theater** during World War II: he was appointed “**deputy supreme allied commander under Vice Admiral Mountbatten**” and “**assumed direct control of planning for the invasion of northern Burma**” in the context of the “**new South East Asia Command in August 1943**.”

I do **not** have enough information in the provided excerpts to compare that with **Einstein’s** main contribution or to cite a supporting passage from his article.",fail
Which city is both the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,0,factual_retrieval,semantic,"Bamako. The excerpt says the Trans-Sahelian Highway links “three major cities—Bamako, Sikasso, and Kayes,” and the question asks which city is both the capital and largest city of Mali; the retrieved text provided here does not explicitly state that fact, but it identifies Bamako as the relevant city.",pass
"Using the relevant Wikipedia articles, compare what Albert Einstein and Joseph Warren Stilwell were known for and the historical circumstances that influenced each of them. Include a quotation for both people.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,0,cross_document_synthesis,semantic,"I’m sorry, but the retrieved excerpt is not enough to answer this comparison.

It contains only bibliographic material about Albert Einstein and does **not** provide:
- what Einstein was known for,
- what Joseph Warren Stilwell was known for,
- the historical circumstances influencing either person,
- or usable quotations about both individuals.

If you can provide the relevant article excerpts for both Albert Einstein and Joseph Warren Stilwell, I can compare them and include quotations.",fail
What city serves as Mali's capital and largest urban center?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,1,factual_retrieval,semantic,The excerpts do not explicitly state Mali’s capital and largest urban center.,fail
Does the available Wikipedia collection provide a current population figure for Mars? Explain the limitation instead of inventing a number.,A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,1,out_of_corpus_abstention,semantic,"The provided Wikipedia excerpts do **not** give a current population figure for Mars. In fact, the excerpt is just a list of Mars-related topics and missions, e.g. “Mars One,” “Mars Sample Return,” “Mars Exploration Program,” and similar entries, but it contains **no statement about any population on Mars**.

So I can’t provide a number from these excerpts without inventing one.",pass
"Which people created Norman Gunston, and how is this television persona characterized?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,0,obscure_knowledge,semantic,"Norman Gunston was created by **Garry McDonald**; McDonald said that **“Garry McDonald created Norman Gunston, my writer, Bill Harding, filled Gunston out, and our director, John Eastway, put Gunston in the ‘Tonight’ show concept.”**

As for how the persona is characterized, the excerpt says the Gunston character and his show were devised as **“a parody of an (unintentionally bad) late-night Sydney TV variety show”** of the early 1970s.",fail
Which Egyptian ruler was identified as the final native pharaoh in the lead?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,0,factual_retrieval,semantic,Nectanebo II — the excerpt says he was the “**Last native ruler of Egypt until the Egyptian revolution of 1952**.”,pass
"Who were the creators of Norman Gunston, and what type of fictional TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,1,obscure_knowledge,semantic,"According to the excerpt, “**Garry McDonald created Norman Gunston**,” and “**my writer, Bill Harding, filled Gunston out, and our director, John Eastway, put Gunston in the ‘Tonight’ show concept**.”

He was a “**fictional TV character**” — specifically a comedy character used in “**The Norman Gunston Show**” and described in the excerpt as part of a “**parody**” of a late-night TV variety show.",pass
