question,grading_notes,original_question,original_grading_notes,original_order,paraphrase_order,evaluation_category,retriever,response,score
What city serves as Mali's capital and largest urban center?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,1,factual_retrieval,lexical,"Bamako — the excerpts say, “Its capital and largest city is Bamako” and “Capital and largest city Bamako.”",pass
Which Egyptian ruler was identified as the final native pharaoh in the lead?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,0,factual_retrieval,lexical,"Nectanebo II — the excerpts say, “The last native pharaoh was Nectanebo II of the short-lived 30th Dynasty.”",pass
What were the two major wartime blocs identified in the opening text about World War II?,A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,1,multi_fact,lexical,The two major wartime blocs were **“the Allies and the Axis powers”**.,pass
"Using the relevant Wikipedia articles, compare what Albert Einstein and Joseph Warren Stilwell were known for and the historical circumstances that influenced each of them. Include a quotation for both people.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,0,cross_document_synthesis,lexical,"Albert Einstein was known as a “German-born theoretical physicist” and was “Known for General relativity Special relativity Photoelectric effect E = mc” . The excerpt also shows the historical background that shaped him: he lived through shifting national statuses and citizenships, including being “Stateless (1896–1901)” and later moving into different German and Swiss political contexts, which is relevant to his life and work. A quotation from the excerpt is: “German-born theoretical physicist (1879–1955).”

Joseph Warren “Vinegar Joe” Stilwell was known as a U.S. Army general in World War II, specifically for service in the “China Burma India theater,” where he “served as commander of the US forces in the theater” and became “an early American popular hero of the war for leading a column walking out of Burma on foot.” The excerpt also shows the wartime circumstances around him: his command was “marred by disputes with Chiang Kai-shek, Air Force commander Claire Chennault, and British commanders,” and he was working amid the Japanese defeat of 1942 in Burma. A quotation from the excerpt is: “After being defeated by the Japanese in 1942, Stilwell became an early American popular hero of the war for leading a column walking out of Burma on foot.”",pass
Reproduce the first sentence of the '13 (2010 film)' Wikipedia article word for word.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,0,quotation_fidelity,lexical,"I’m sorry, but the retrieved excerpts do not contain the first sentence of the **13 (2010 film)** article, so I can’t reproduce it word for word from the provided material.",fail
"How many people currently live on Mars? If the corpus does not contain this information, say so explicitly.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,0,out_of_corpus_abstention,lexical,The corpus does not contain information about how many people currently live on Mars.,pass
"What did people call Stilwell, and what World War II theater was he assigned to as an American general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,1,multi_fact,lexical,"People called him **“Vinegar Joe”** — the excerpt lists his nickname as **“Vinegar Joe,”** and says Joseph Warren “Vinegar Joe” Stilwell. He was assigned to the **China Burma India theater** during World War II.",pass
"Who were the creators of Norman Gunston, and what type of fictional TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,1,obscure_knowledge,lexical,"Norman Gunston was created by **Wendy Skelcher and Garry McDonald**: the excerpt says, **“Created by Wendy Skelcher and Garry McDonald”** and also that the character was “originally conceived for a sketch by comedy writer Wendy Skelcher.”

He was a **satirical TV character** — specifically, **“a satirical TV character performed by Australian actor and comedian Garry McDonald.”**",pass
Which city is both the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,0,factual_retrieval,lexical,"Bamako. The excerpt says, “Its capital and largest city is Bamako.”",pass
Does the available Wikipedia collection provide a current population figure for Mars? Explain the limitation instead of inventing a number.,A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,1,out_of_corpus_abstention,lexical,"No. The provided excerpts do not include a current population figure for Mars.

The Mars-related excerpts are about Mars colonization or missions, not Mars’s population. For example, one excerpt says Musk has advocated “the colonization of Mars,” and another lists Mars mission concepts, but none of the excerpts provide any “current population” number for Mars. Since no relevant population data is present in the retrieved Wikipedia excerpts, I can’t give a figure without inventing one.",pass
