question,grading_notes,original_question,original_grading_notes,original_order,paraphrase_order,evaluation_category,retriever,response,score
Which Egyptian ruler was identified as the final native pharaoh in the lead?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,0,factual_retrieval,graph,The lead identified **Nectanebo II** as the final native pharaoh: “**Last native king Nectanebo II**” and “**Last monarch Nectanebo II (last native)**.”,pass
Reproduce the first sentence of the '13 (2010 film)' Wikipedia article word for word.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,0,quotation_fidelity,graph,"I’m sorry, but the retrieved excerpts do not contain the first sentence of the **“13 (2010 film)”** article, so I can’t reproduce it word for word from the provided text.",fail
"Which people created Norman Gunston, and how is this television persona characterized?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,0,obscure_knowledge,graph,"Norman Gunston was created by **Wendy Skelcher and Garry McDonald**: the article states, “**Created by Wendy Skelcher and Garry McDonald**,” and also says the character “**was originally conceived for a sketch by comedy writer Wendy Skelcher**.”

He is characterized as “**a satirical TV character**” and “**a dull and talentless local TV reporter from the industrial city of Wollongong**.” Another excerpt adds that he “**appears to be stupid in order to throw his otherwise media-savvy quarry off their guard**.”",pass
"By what nickname was Joseph Warren Stilwell known, and in which World War II theater did he serve as a U.S. Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,0,multi_fact,graph,Joseph Warren Stilwell was known by the nickname **“Vinegar Joe”**. He served as a U.S. Army general in the **China Burma India theater** during World War II: the excerpt says he “**served in the China Burma India theater during World War II**.”,pass
What city serves as Mali's capital and largest urban center?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,1,factual_retrieval,graph,Mali’s capital and largest urban center is **Bamako**. The excerpt states: “**Its capital and largest city is Bamako**.”,pass
What is the exact opening sentence of the Wikipedia entry for the film '13' released in 2010?,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,1,quotation_fidelity,graph,"The exact opening sentence is:

“**13 is a 2010 American psychological crime thriller film directed by Géla Babluani (who also directed the original), stars Sam Riley, Ray Winstone, 50 Cent, Mickey Rourke and Jason Statham.**”",pass
"Who were the creators of Norman Gunston, and what type of fictional TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,1,obscure_knowledge,graph,"Norman Gunston was “created by Wendy Skelcher and Garry McDonald,” with McDonald later saying, “Garry McDonald created Norman Gunston.” He was a “satirical TV character” and “dull and talentless local TV reporter” from Wollongong.",pass
Does the available Wikipedia collection provide a current population figure for Mars? Explain the limitation instead of inventing a number.,A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,1,out_of_corpus_abstention,graph,"No. The available excerpts do **not** provide a current population figure for Mars.

The excerpts are about other topics, such as Dudley, Alaska, Victoria, Japan, Western Australia, and New South Wales, but none mention Mars or give a Mars population. So I can’t supply a number without inventing one.",fail
"According to the article's opening text, who was Egypt's last pharaoh of native origin?",A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,1,factual_retrieval,graph,"According to the article’s opening text, Egypt’s last pharaoh of native origin was **Nectanebo II**: “**The last native pharaoh was Nectanebo II** of the short-lived 30th Dynasty.”",pass
"Using the relevant Wikipedia articles, compare what Albert Einstein and Joseph Warren Stilwell were known for and the historical circumstances that influenced each of them. Include a quotation for both people.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,0,cross_document_synthesis,graph,"Albert Einstein was known as a “German-born theoretical physicist” and is listed as being known for “General relativity,” “Special relativity,” and the “Photoelectric effect.” The excerpt also notes that he was born in 1879 and had changing citizenships, including being stateless from 1896–1901 and later becoming a U.S. citizen in 1940. A quotation from the excerpt is: “Known for General relativity Special relativity Photoelectric effect.”

Joseph Warren “Vinegar Joe” Stilwell was a United States Army general who served in the China Burma India theater during World War II. The excerpt says he was “commander of the US forces in the theater,” and that “After being defeated by the Japanese in 1942, Stilwell became an early American popular hero of the war for leading a column walking out of Burma on foot.” It also says his command was “marred by disputes with Chiang Kai-shek, Air Force commander Claire Chennault, and British commanders.” A quotation from the excerpt is: “After being defeated by the Japanese in 1942, Stilwell became an early American popular hero of the war for leading a column walking out of Burma on foot.”

In short, Einstein is known for fundamental scientific theories, while Stilwell is known for military leadership in World War II under the pressures of the China-Burma-India theater and conflict with allies and commanders.",pass
"Which two principal alliances opposed each other during World War II, according to the lead?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,0,multi_fact,graph,"According to the lead, World War II was “a global conflict between two coalitions: the Allies and the Axis powers.”",pass
"How did Einstein's and Stilwell's main contributions differ, and what historical settings shaped them? Cite one supporting passage from each person's article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,1,cross_document_synthesis,graph,"Einstein’s main contribution, according to the excerpt, was to **theoretical physics**, especially “his discovery of the law of the photoelectric effect,” for which he received the Nobel Prize. A supporting passage is: **“he was awarded the 1921 Nobel Prize in Physics ‘for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect’.”** This places his work in the setting of early 20th-century theoretical physics.

Stilwell’s main contribution, by contrast, was as a **military commander and Army leader**, especially in the World War II era. A supporting passage is: **“Just prior to the United States entering World War II, following the Imperial Japanese attack on Pearl Harbor, Stilwell had been recognized as the Army's top corps commander”** and he was “initially selected to plan and command the Allied invasion of North Africa.” This places his career in the setting of World War II and U.S. Army operations.",pass
"How many people currently live on Mars? If the corpus does not contain this information, say so explicitly.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,0,out_of_corpus_abstention,graph,The corpus does not contain information about how many people currently live on Mars.,pass
Which city is both the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,0,factual_retrieval,graph,"Bamako — the excerpt says, “Its capital and largest city is Bamako.”",pass
"What did people call Stilwell, and what World War II theater was he assigned to as an American general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,1,multi_fact,graph,People called him **“Vinegar Joe”** — the excerpt also lists nicknames **“Uncle Joe”** and **“Stitch.”** He was assigned to the **China Burma India Theater** during World War II.,pass
What were the two major wartime blocs identified in the opening text about World War II?,A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,1,multi_fact,graph,The two major wartime blocs were **“the Allies”** and **“the Axis powers.”** The excerpt says World War II was “a global conflict between two coalitions: **the Allies and the Axis powers**.”,pass
