question,grading_notes,original_question,original_grading_notes,original_order,paraphrase_order,evaluation_category,retriever,response,score
"Which two principal alliances opposed each other during World War II, according to the lead?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,0,multi_fact,graph,"According to the lead, World War II was fought between **“the Allies”** and **“the Axis powers.”**",pass
Which Egyptian ruler was identified as the final native pharaoh in the lead?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,0,factual_retrieval,graph,"The excerpts do not say which ruler was identified as the “final native pharaoh in the lead.” They only mention that the Twenty-first Dynasty followed Ramesses XI and list rulers such as Smendes I, Amenemnisu, and Psusennes I.",fail
"Using the relevant Wikipedia articles, compare what Albert Einstein and Joseph Warren Stilwell were known for and the historical circumstances that influenced each of them. Include a quotation for both people.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,0,cross_document_synthesis,graph,"From the provided excerpts, **Albert Einstein** is described as a physicist associated with the award because it is given for work “**related to Albert Einstein**,” but the excerpts here do not actually explain Einstein’s own achievements or historical circumstances in detail. The only direct quote about him in the provided text is that the medal is for “**scientific findings, works, or publications related to Albert Einstein**.”

For **Joseph Warren Stilwell**, I don’t have any excerpt about him in the provided context, so I can’t compare his known-for significance or historical circumstances from the supplied sources.

So, based only on these excerpts, I can say:
- **Albert Einstein**: known in this material only as the namesake of the medal and as the subject of “scientific findings, works, or publications related to Albert Einstein.”
- **Joseph Warren Stilwell**: not covered in the provided excerpts, so the answer cannot be determined from these documents.

If you want, I can help rewrite the question once you provide the Stilwell article excerpt.",fail
"By what nickname was Joseph Warren Stilwell known, and in which World War II theater did he serve as a U.S. Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,0,multi_fact,graph,"Joseph Warren Stilwell was known by the nickname **“Vinegar Joe”** — the excerpt lists his nicknames as **""Vinegar Joe"", ""Uncle Joe"", ""Stitch""**.

He served in the **China Burma India theater** during World War II: **“Stilwell served as commander of the US forces in the theater”** and the excerpt identifies it as the **“China Burma India theater”**.",pass
"How did Einstein's and Stilwell's main contributions differ, and what historical settings shaped them? Cite one supporting passage from each person's article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,1,cross_document_synthesis,graph,"The provided excerpts do not contain any information about Stilwell’s main contributions or historical setting, so I can’t compare Einstein and Stilwell from these documents alone.

From Einstein’s article excerpt, the only relevant historical context is that it is a general biography page, but it does not mention the specific contribution you’re asking about. The excerpt shown only says “Albert Einstein - Wikipedia” and lists sections like “Life and career.”

From the Albert Einstein Medal excerpt, the award is described as being for “scientific findings, works, or publications related to Albert Einstein,” but that still does not describe Einstein’s own main contributions or Stilwell’s.

So, based on the provided excerpts, I can’t answer the comparison without guessing.",fail
Which city is both the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,0,factual_retrieval,graph,"Bamako. The excerpt says, “Its capital and largest city is Bamako.”",pass
"What did people call Stilwell, and what World War II theater was he assigned to as an American general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,1,multi_fact,graph,"Stilwell was called **“Vinegar Joe,” “Uncle Joe,”** and **“Stitch.”** The excerpt also says he “served in the **China Burma India theater** during World War II.”",pass
What is the exact opening sentence of the Wikipedia entry for the film '13' released in 2010?,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,1,quotation_fidelity,graph,"I’m sorry, but the provided excerpts do not contain the Wikipedia entry for the film **13** (2010), so I can’t determine its exact opening sentence from the given text.",fail
"How many people currently live on Mars? If the corpus does not contain this information, say so explicitly.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,0,out_of_corpus_abstention,graph,The corpus does not contain information about how many people currently live on Mars.,pass
Reproduce the first sentence of the '13 (2010 film)' Wikipedia article word for word.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,0,quotation_fidelity,graph,"I’m sorry, but the provided excerpts do not include the Wikipedia article for **“13 (2010 film)”**, so I can’t reproduce its first sentence word for word from the given material.",fail
