question,grading_notes,original_question,original_grading_notes,original_order,paraphrase_order,evaluation_category,retriever,response,score
"Which people created Norman Gunston, and how is this television persona characterized?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,0,obscure_knowledge,graph,"Norman Gunston was created by **Wendy Skelcher and Garry McDonald**: the excerpt says, “**The Gunston character was originally conceived for a sketch by comedy writer Wendy Skelcher**,” and the article’s infobox lists him as “**Created by Wendy Skelcher and Garry McDonald**.”

He is characterized as “**a satirical TV character**” and “**a dull and talentless local TV reporter from the industrial city of Wollongong**.” The excerpt also calls him “**the little Aussie bleeder**.”",pass
Does the available Wikipedia collection provide a current population figure for Mars? Explain the limitation instead of inventing a number.,A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,1,out_of_corpus_abstention,graph,"No. The provided excerpts are about the **Trace Gas Orbiter** and **Benjamin Franklin**, plus unrelated referenced context for Pennsylvania and Philadelphia. They do **not** contain any current population figure for Mars.

So, based on the available Wikipedia collection here, I can’t give a Mars population number without inventing one.",pass
"Who were the creators of Norman Gunston, and what type of fictional TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,1,obscure_knowledge,graph,"According to the excerpt, Norman Gunston was created by **Wendy Skelcher and Garry McDonald**. He was a **“satirical TV character”** — specifically, the excerpt says: **“Norman Gunston is a satirical TV character performed by Australian actor and comedian Garry McDonald.”**",pass
"Using the relevant Wikipedia articles, compare what Albert Einstein and Joseph Warren Stilwell were known for and the historical circumstances that influenced each of them. Include a quotation for both people.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,0,cross_document_synthesis,graph,"Albert Einstein was known for his scientific work. The excerpt says the Albert Einstein Medal is given for “**scientific findings, works, or publications related to Albert Einstein**,” and the referenced Albert Einstein article shows he was a major scientific figure. A relevant quotation is: “**scientific findings, works, or publications related to Albert Einstein**.” The excerpted context does not give a fuller summary of Einstein’s achievements beyond that.

I do not have any excerpt for **Joseph Warren Stilwell** in the provided material, so I can’t reliably compare his work or the historical circumstances that influenced him from these excerpts alone. If you provide a Stilwell excerpt, I can compare them directly and include a quotation for him too.",fail
Which city is both the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,0,factual_retrieval,graph,Bamako. The excerpt says: “Its capital and largest city is Bamako.”,pass
"By what nickname was Joseph Warren Stilwell known, and in which World War II theater did he serve as a U.S. Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,0,multi_fact,graph,"Joseph Warren Stilwell was known as **“Vinegar Joe”**, and he served in the **China Burma India theater** during World War II. The excerpt says: “Joseph Warren ‘Vinegar Joe’ Stilwell ... was a United States Army general who served in the **China Burma India theater** during World War II.”",pass
"How did Einstein's and Stilwell's main contributions differ, and what historical settings shaped them? Cite one supporting passage from each person's article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,1,cross_document_synthesis,graph,"The excerpts provided do **not** contain enough information to compare Einstein’s and Stilwell’s main contributions or the historical settings that shaped them.

What I can cite from the Einstein-related excerpt is only that the Albert Einstein Medal is for people with **“scientific findings, works, or publications related to Albert Einstein.”** But the excerpt does not describe Einstein’s own main contribution.

I also do **not** have any excerpt from Stilwell’s article here, so I can’t quote it or compare the two people without speculating.",fail
What city serves as Mali's capital and largest urban center?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,1,factual_retrieval,graph,"The provided excerpts do not mention Mali or its capital and largest urban center, so I can’t answer from the given text.",fail
"What did people call Stilwell, and what World War II theater was he assigned to as an American general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,1,multi_fact,graph,"Stilwell was called **“Vinegar Joe”**, **“Uncle Joe”**, and **“Stitch”**. He was assigned to the **China Burma India theater** during World War II.",pass
"How many people currently live on Mars? If the corpus does not contain this information, say so explicitly.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,0,out_of_corpus_abstention,graph,The corpus does not contain information about how many people currently live on Mars.,pass
