question,grading_notes,original_question,original_grading_notes,original_order,paraphrase_order,evaluation_category,retriever,response,score
Which Egyptian ruler was identified as the final native pharaoh in the lead?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,0,factual_retrieval,graph,The lead identifies **Nectanebo II** as the **“Last native king”**: “**Last native king Nectanebo II c. 360–342 BC**.”,pass
Reproduce the first sentence of the '13 (2010 film)' Wikipedia article word for word.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,0,quotation_fidelity,graph,13 (2010 film) is a 2010 American thriller film.,fail
"Which people created Norman Gunston, and how is this television persona characterized?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,0,obscure_knowledge,graph,"Norman Gunston was created by **Garry McDonald** and **Wendy Skelcher**: the article says it was ""originally conceived for a sketch by comedy writer Wendy Skelcher"" and that it is an ""Australian TV character created by Garry McDonald."" It also quotes McDonald saying, ""I think you can say that **Garry McDonald created Norman Gunston, my writer, Bill Harding, filled Gunston out, and our director, John Eastway, put Gunston in the 'Tonight' show concept**.""

As for how the persona is characterized, Norman Gunston is described as **""a satirical TV character""** and specifically as **""a dull and talentless local TV reporter from the industrial city of Wollongong""**.",pass
"By what nickname was Joseph Warren Stilwell known, and in which World War II theater did he serve as a U.S. Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,0,multi_fact,graph,"Joseph Warren Stilwell was known as **“Vinegar Joe”**, and he served as a U.S. Army general in the **China Burma India theater during World War II**.",pass
What city serves as Mali's capital and largest urban center?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,1,factual_retrieval,graph,"Mali’s capital and largest urban center is **Bamako** — the excerpts say, “**Its capital and largest city is Bamako**” and “**Capital and largest city Bamako**.”",pass
What is the exact opening sentence of the Wikipedia entry for the film '13' released in 2010?,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,1,quotation_fidelity,graph,"The opening sentence is: “13 is a 2010 American psychological crime thriller film directed by Géla Babluani (who also directed the original), stars Sam Riley , Ray Winstone , 50 Cent , Mickey Rourke and Jason Statham .”",fail
"Who were the creators of Norman Gunston, and what type of fictional TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,1,obscure_knowledge,graph,"Norman Gunston was created by **Wendy Skelcher and Garry McDonald**: the excerpt says he was ""**Created by Wendy Skelcher and Garry McDonald**,"" and also that the character ""was originally conceived for a sketch by comedy writer Wendy Skelcher.""

He was a **satirical TV character** — specifically, ""Norman Gunston is a **satirical TV character** performed by Australian actor and comedian Garry McDonald.""",pass
Does the available Wikipedia collection provide a current population figure for Mars? Explain the limitation instead of inventing a number.,A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,1,out_of_corpus_abstention,graph,"No. The provided excerpts do **not** give a current population figure for Mars.

The limitation is that the Mars-related excerpt is about missions and colonization concepts, not demographics. For example, it lists items like “Mars Exploration Program,” “Human mission,” “Permanent settlement,” and “Colonization,” but it does **not** state that Mars has a population number. The other excerpts are about places on Earth or general population lists, so there is no current Mars population figure available in the retrieved collection.",pass
"According to the article's opening text, who was Egypt's last pharaoh of native origin?",A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,1,factual_retrieval,graph,"According to the article’s opening text, Egypt’s last pharaoh of native origin was **Nectanebo II** — the excerpt says, **“Last native king Nectanebo II”** and **“The last native pharaoh was Nectanebo II.”**",pass
"Using the relevant Wikipedia articles, compare what Albert Einstein and Joseph Warren Stilwell were known for and the historical circumstances that influenced each of them. Include a quotation for both people.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,0,cross_document_synthesis,graph,"Albert Einstein was known as a “German-born theoretical physicist” and is listed as being known for “General relativity,” “Special relativity,” and the “Photoelectric effect.” The excerpt also shows that his life spanned major political changes, including being “Stateless (1896–1901),” then Swiss, then later U.S. citizen, which suggests he lived through shifting national circumstances.

Joseph Warren “Vinegar Joe” Stilwell was known as “a United States Army general who served in the China Burma India theater during World War II.” He “became an early American popular hero of the war for leading a column walking out of Burma on foot,” and his command was shaped by the “China Burma India theater” and disputes with “Chiang Kai-shek,” “Claire Chennault,” and British commanders during World War II.

Quotations:
- Einstein: “German-born theoretical physicist” and “Known for General relativity Special relativity Photoelectric effect.”
- Stilwell: “After being defeated by the Japanese in 1942, Stilwell became an early American popular hero of the war for leading a column walking out of Burma on foot.”

The excerpts provide clear information about their reputations and some historical circumstances, but they do not give a full, detailed comparison of how each was influenced by those circumstances.",pass
