question,grading_notes,original_question,original_grading_notes,original_order,paraphrase_order,evaluation_category,retriever,response,score
What were the two major wartime blocs identified in the opening text about World War II?,A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,1,multi_fact,lexical,"The excerpts do not contain the opening text identifying the two wartime blocs, so I can’t determine the answer from the provided material.",fail
Reproduce the first sentence of the '13 (2010 film)' Wikipedia article word for word.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,0,quotation_fidelity,lexical,"I’m sorry, but the provided excerpts do not contain the first sentence of the **“13 (2010 film)”** Wikipedia article, so I can’t reproduce it word for word from the given material.",fail
Which city is both the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,0,factual_retrieval,lexical,Bamako. The excerpt says Mali’s “**capital and largest city is Bamako**.”,pass
Which Egyptian ruler was identified as the final native pharaoh in the lead?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,0,factual_retrieval,lexical,The excerpt says: “The last native pharaoh was **Nectanebo II** of the short-lived 30th Dynasty.”,pass
"Using the relevant Wikipedia articles, compare what Albert Einstein and Joseph Warren Stilwell were known for and the historical circumstances that influenced each of them. Include a quotation for both people.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,0,cross_document_synthesis,lexical,"From the excerpts provided, I can only answer **partially**.

- **Albert Einstein** is identified in the excerpt as the subject of the Albert Einstein Medal, which is awarded for **“scientific findings, works, or publications related to Albert Einstein”**. The excerpt does not directly describe Einstein’s own achievements, but it shows that his name is associated with major scientific work and influence. A relevant quote is from the Einstein article excerpt: **“Fundamental ideas and problems of the theory of relativity”**, which indicates the scientific field he is known for.

- **Joseph Warren Stilwell** is shown in the excerpt as a military officer: he is listed under **“Military offices”** and as **“Commanding General 7th Infantry Division 1940–1941”**. The excerpt suggests his historical context was **World War II**, since it mentions **“World War II diaries”** and materials about him from that era. A relevant quote is: **“Generals of World War II”**.

So, based only on the provided excerpts, Einstein was known for groundbreaking scientific ideas tied to relativity, while Stilwell was known as a World War II-era Army general. The excerpts do not provide enough detail to fully compare the historical circumstances that shaped them, beyond Einstein’s scientific context and Stilwell’s wartime military context.",pass
Does the available Wikipedia collection provide a current population figure for Mars? Explain the limitation instead of inventing a number.,A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,1,out_of_corpus_abstention,lexical,"No. The provided excerpts do not give a current population figure for Mars. They only mention Mars in the context of atmospheric observations and dust storms, such as “accelerated water loss from the atmosphere” and an “out-of-season dust storm,” but there is no population data.",fail
"Which people created Norman Gunston, and how is this television persona characterized?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,0,obscure_knowledge,lexical,"Norman Gunston was created by **Wendy Skelcher and Garry McDonald**. The article characterizes him as an **“Australian TV character”** and a **“satirical TV character”**, with the nickname **“The Little Aussie Bleeder”** and the occupation **“Television Reporter.”**",pass
"How many people currently live on Mars? If the corpus does not contain this information, say so explicitly.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,0,out_of_corpus_abstention,lexical,The provided excerpts do not contain information about how many people currently live on Mars.,pass
"Which two principal alliances opposed each other during World War II, according to the lead?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,0,multi_fact,lexical,"According to the lead, World War II was fought between **the Allies** and **the Axis**.",pass
What city serves as Mali's capital and largest urban center?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,1,factual_retrieval,lexical,"According to the excerpt, Mali’s “capital and largest city is **Bamako**.”",pass
What is the exact opening sentence of the Wikipedia entry for the film '13' released in 2010?,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,1,quotation_fidelity,lexical,"I’m sorry, but the provided Wikipedia excerpts do not include the entry for the film **“13” (2010)**, so I can’t determine its exact opening sentence from the given material.",fail
"According to the article's opening text, who was Egypt's last pharaoh of native origin?",A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,1,factual_retrieval,lexical,"According to the article’s opening text, Egypt’s last pharaoh of native origin was **Nectanebo II**. The excerpt says: “**The last native king Nectanebo II** …” and later, “**The last native pharaoh was Nectanebo II**.”",pass
"What did people call Stilwell, and what World War II theater was he assigned to as an American general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,1,multi_fact,lexical,People called Joseph Stilwell **“Vinegar Joe”**; the excerpt also lists other nicknames: **“Uncle Joe”** and **“Stitch.”** He was assigned to the **China-Burma-India Theater (CBI)** during World War II: “In February 1942 Stilwell was promoted to lieutenant general and was assigned to the **China-Burma-India Theater (CBI)**.”,pass
"By what nickname was Joseph Warren Stilwell known, and in which World War II theater did he serve as a U.S. Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,0,multi_fact,lexical,Joseph Warren Stilwell was known as **“Vinegar Joe”** and he served in the **China Burma India theater** during World War II.,pass
"Who were the creators of Norman Gunston, and what type of fictional TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,1,obscure_knowledge,lexical,Norman Gunston was created by **Wendy Skelcher and Garry McDonald**. He was a **“satirical TV character”** — described in the excerpt as an **“Australian TV character”** and a **“satirical TV character performed by Australian actor and comedian Garry McDonald.”**,pass
"How did Einstein's and Stilwell's main contributions differ, and what historical settings shaped them? Cite one supporting passage from each person's article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,1,cross_document_synthesis,lexical,"I’m sorry, but the provided excerpts do not include enough information about Stilwell’s main contributions or the historical settings that shaped them, so I can’t compare the two using only these passages.

From Einstein’s article, one relevant passage is:

> “In 1907, Einstein proposed a model of matter where each atom in a lattice structure is an independent harmonic oscillator. In the Einstein model, each atom oscillates independently... Einstein was aware that getting the frequency of the actual oscillations would be difficult, but he nevertheless proposed this theory because it was a particularly clear demonstration that quantum mechanics could solve the specific heat problem in classical mechanics.”

But no excerpt about Stilwell is provided, so I can’t cite a supporting passage from his article.",fail
