question,grading_notes,original_question,original_grading_notes,original_order,paraphrase_order,evaluation_category,retriever,response,score
"What did people call Stilwell, and what World War II theater was he assigned to as an American general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,1,multi_fact,hybrid,"People called Joseph Stilwell **“Vinegar Joe”**, and he was assigned to the **China-Burma-India Theater (CBI)** during World War II. The excerpt says he was “nicknamed ‘Vinegar Joe,’” and that in February 1942 “Stilwell was promoted to lieutenant general and was assigned to the China-Burma-India Theater (CBI).”",pass
What city serves as Mali's capital and largest urban center?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,1,factual_retrieval,hybrid,"According to the excerpt, Mali’s “capital and largest city is **Bamako**.”",pass
"How many people currently live on Mars? If the corpus does not contain this information, say so explicitly.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,0,out_of_corpus_abstention,hybrid,The provided excerpts do not contain information about how many people currently live on Mars.,pass
What were the two major wartime blocs identified in the opening text about World War II?,A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,1,multi_fact,hybrid,"The excerpts provided do not contain the opening text about World War II that identifies the two major wartime blocs, so I can’t determine the answer from these excerpts alone.",fail
"Using the relevant Wikipedia articles, compare what Albert Einstein and Joseph Warren Stilwell were known for and the historical circumstances that influenced each of them. Include a quotation for both people.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,0,cross_document_synthesis,hybrid,"From the excerpts provided, I can only support a limited comparison.

**Albert Einstein** was associated with science and is explicitly tied here to an award for work connected to him: the Albert Einstein Medal is “presented to people for ‘scientific findings, works, or publications related to Albert Einstein’.” The excerpt also identifies him through archival and publication resources, but does not directly summarize his own achievements in detail. A relevant quotation is: **“Albert Einstein at Wikipedia's sister projects”** and **“scientific findings, works, or publications related to Albert Einstein.”**

**Joseph Warren Stilwell** is shown here as a military figure. The excerpt mentions his “diaries, 1900–1946” and his role as **“Commanding General 7th Infantry Division 1940–1941,”** which places him in the context of World War II-era military leadership. A relevant quotation is: **“Commanding General 7th Infantry Division 1940–1941.”**

**Comparison:** based on these excerpts, Einstein is presented in a scientific context, while Stilwell is presented in a military one. The historical circumstances visible here are different too: Einstein’s excerpt is tied to the broader world of scientific recognition, whereas Stilwell’s is tied to **“World War II”** and military command. However, the provided excerpts do **not** give enough detail to fully explain what each was “known for” beyond those general contexts.",pass
Reproduce the first sentence of the '13 (2010 film)' Wikipedia article word for word.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,0,quotation_fidelity,hybrid,"I’m sorry, but the provided excerpts do not include the Wikipedia article for **“13 (2010 film)”**, so I can’t reproduce its first sentence word for word from the supplied text.",fail
"Which two principal alliances opposed each other during World War II, according to the lead?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,0,multi_fact,hybrid,"The excerpts do not say this directly in the lead shown, so I can’t identify the two principal alliances from these excerpts alone.",fail
"Who were the creators of Norman Gunston, and what type of fictional TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,1,obscure_knowledge,hybrid,"Norman Gunston was **created by Wendy Skelcher and Garry McDonald**. He was a **“satirical TV character”**, described in the excerpt as an **“Australian TV character”** and a **“fictional character”**.",pass
"Which people created Norman Gunston, and how is this television persona characterized?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,0,obscure_knowledge,hybrid,Norman Gunston was created by **Wendy Skelcher and Garry McDonald**. The article characterizes him as **“a satirical TV character”** and says he is **“performed by Australian actor and comedian Garry McDonald.”** It also identifies him in-universe as **“The Little Aussie Bleeder”** and a **“Television Reporter.”**,pass
What is the exact opening sentence of the Wikipedia entry for the film '13' released in 2010?,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,1,quotation_fidelity,hybrid,"I’m sorry, but the provided excerpts do not include the Wikipedia entry for the 2010 film **13**, so I can’t give its exact opening sentence from these sources.",fail
