question,grading_notes,original_question,original_grading_notes,original_order,paraphrase_order,evaluation_category,retriever,response,score
Reproduce the first sentence of the '13 (2010 film)' Wikipedia article word for word.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,0,quotation_fidelity,hybrid,"13 is a 2010 American psychological crime thriller film directed by Géla Babluani (who also directed the original), stars Sam Riley , Ray Winstone , 50 Cent , Mickey Rourke and Jason Statham .",fail
Does the available Wikipedia collection provide a current population figure for Mars? Explain the limitation instead of inventing a number.,A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,1,out_of_corpus_abstention,hybrid,"No. The available Wikipedia collection does not provide a current population figure for Mars. In fact, based on the excerpts provided here, there is no population information at all to use, so I can’t give a number without inventing one.",pass
"How did Einstein's and Stilwell's main contributions differ, and what historical settings shaped them? Cite one supporting passage from each person's article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,1,cross_document_synthesis,hybrid,"Einstein’s main contribution was scientific theory, especially relativity and theoretical physics, while Stilwell’s main contribution was military leadership during World War II, especially in China and Burma.

- **Einstein:** the excerpt says he won the Nobel Prize “**for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect**.” His historical setting was early 20th-century physics, including work done in **Zurich, Switzerland** in 1900–1901.
- **Stilwell:** the excerpt shows his career centered on **World War II**, with section headings like “**World War II**,” “**Burma retreat and offensive**,” and “**Disagreements with Chiang and British**,” indicating his main role was military command in the China-Burma theater during the war.

Supporting passages:
- Einstein: “**for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect**.”
- Stilwell: “**World War II**” and “**Burma retreat and offensive**” / “**Disagreements with Chiang and British**.”",pass
Which Egyptian ruler was identified as the final native pharaoh in the lead?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,0,factual_retrieval,hybrid,The lead identified **Nectanebo II** as the final native pharaoh: “**Last native king Nectanebo II**” and “**The last native pharaoh was Nectanebo II**.”,pass
What were the two major wartime blocs identified in the opening text about World War II?,A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,1,multi_fact,hybrid,The two major wartime blocs were **“the Allies”** and **“the Axis powers.”** The excerpt says World War II “was a global conflict between two coalitions: **the Allies and the Axis powers**.”,pass
What city serves as Mali's capital and largest urban center?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,1,factual_retrieval,hybrid,"Bamako — the excerpt says, “Its capital and largest city is Bamako.”",pass
"By what nickname was Joseph Warren Stilwell known, and in which World War II theater did he serve as a U.S. Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,0,multi_fact,hybrid,"Joseph Warren Stilwell was known as **“Vinegar Joe”**, and he served as a U.S. Army general in the **China Burma India theater during World War II**.",pass
"According to the article's opening text, who was Egypt's last pharaoh of native origin?",A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,1,factual_retrieval,hybrid,"According to the article’s opening text, Egypt’s last pharaoh of native origin was **Nectanebo II** — the excerpt says, “**The last native pharaoh was Nectanebo II** of the short-lived 30th Dynasty.”",pass
"What did people call Stilwell, and what World War II theater was he assigned to as an American general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,1,multi_fact,hybrid,People called him **“Vinegar Joe”** — the excerpt says Joseph Warren Stilwell was **“‘Vinegar Joe’ Stilwell.”** He was assigned to the **China Burma India theater** during World War II.,pass
What is the exact opening sentence of the Wikipedia entry for the film '13' released in 2010?,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,1,quotation_fidelity,hybrid,"The retrieved excerpts do not contain the exact opening sentence of the Wikipedia entry for **13 (2010 film)**. They show the article header and infobox, but not the lead sentence itself.",pass
"Using the relevant Wikipedia articles, compare what Albert Einstein and Joseph Warren Stilwell were known for and the historical circumstances that influenced each of them. Include a quotation for both people.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,0,cross_document_synthesis,hybrid,"Albert Einstein was known as a “German-born theoretical physicist” whose work is identified in the excerpt with “General relativity,” “Special relativity,” and the “Photoelectric effect.” The same excerpt shows that the historical circumstances of his life included changing national status and emigration: he was “Stateless (1896–1901),” later Swiss, and “U.S. (from 1940),” and another excerpt notes that after “the confirmation of his general theory of relativity in 1919,” he became “one of the most famous scientific celebrities.” A quotation from the excerpts: “Einstein became one of the most famous scientific celebrities after the confirmation of his general theory of relativity in 1919.”

Joseph Warren Stilwell was known as a United States Army general, nicknamed “Vinegar Joe,” who served in the “China Burma India theater during World War II” and was “command[er] of the US forces in the theater.” The excerpts show that his career was shaped by the war in Asia and by difficult command relationships: after “being defeated by the Japanese in 1942,” he became an “early American popular hero” for “leading a column walking out of Burma on foot,” and “his command was marred by disputes with Chiang Kai-shek, Air Force commander Claire Chennault, and British commanders.” A quotation from the excerpts: “Stilwell declined an airlift offer … and led his staff of 117 out of Burma into Assam, India, on foot.”

In short, Einstein is presented as a groundbreaking physicist shaped by the upheavals of nationality and the era of modern physics, while Stilwell is presented as a wartime general shaped by the China-Burma-India theater and the hardships of World War II in Asia.",pass
"How many people currently live on Mars? If the corpus does not contain this information, say so explicitly.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,0,out_of_corpus_abstention,hybrid,The corpus does not contain information about how many people currently live on Mars.,pass
"Who were the creators of Norman Gunston, and what type of fictional TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,1,obscure_knowledge,hybrid,"Norman Gunston was created by **Wendy Skelcher and Garry McDonald**: the excerpt says he was “**created by Wendy Skelcher and Garry McDonald**,” and also that the character was “**originally conceived for a sketch by comedy writer Wendy Skelcher**” with **Garry McDonald** portraying him.

He was a **satirical TV character** — the excerpt describes him as “**a satirical TV character**” and also calls him “**the little Aussie bleeder**” who “**satirised parochial Australian culture, media ‘personalities’ and egocentric talk show hosts**.”",pass
"Which two principal alliances opposed each other during World War II, according to the lead?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,0,multi_fact,hybrid,The two principal alliances were **“the Allies and the Axis powers”** — the lead says World War II was “a global conflict between two coalitions: **the Allies and the Axis powers**.”,pass
