question,grading_notes,original_question,original_grading_notes,original_order,paraphrase_order,evaluation_category,retriever,response,score
"By what nickname was Joseph Warren Stilwell known, and in which World War II theater did he serve as a U.S. Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,0,multi_fact,semantic,"Joseph Warren Stilwell was known as **“Vinegar Joe”**, and he served as a U.S. Army general in the **China Burma India Theater**.",pass
Does the available Wikipedia collection provide a current population figure for Mars? Explain the limitation instead of inventing a number.,A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,1,out_of_corpus_abstention,semantic,"No. The available excerpt does **not** provide a current population figure for Mars. It is about Mars exploration and related references, and does not mention any population count. So I can’t give a number from these excerpts.",pass
Which Egyptian ruler was identified as the final native pharaoh in the lead?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,0,factual_retrieval,semantic,The excerpts do not contain enough information to identify which Egyptian ruler was described in the lead as the “final native pharaoh.”,fail
"How did Einstein's and Stilwell's main contributions differ, and what historical settings shaped them? Cite one supporting passage from each person's article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,1,cross_document_synthesis,semantic,"I don’t have enough excerpted information to answer this reliably.

The retrieved text appears to be from **Joseph Stilwell’s article** only, and it does not provide a clear passage about **Einstein’s main contributions** or enough detail about **Stilwell’s own contributions** to compare them. It only gives some contextual references, for example:

- From the Stilwell excerpt: “**Presents a harsher picture of Stilwell** in course of examining Churchill, Roosevelt, Brook, and Marshall.”

But I cannot cite a supporting passage for Einstein because no Einstein excerpt was provided, and I should not speculate or use outside knowledge.",fail
"How many people currently live on Mars? If the corpus does not contain this information, say so explicitly.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,0,out_of_corpus_abstention,semantic,The corpus does not contain information about how many people currently live on Mars.,pass
"Who were the creators of Norman Gunston, and what type of fictional TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,1,obscure_knowledge,semantic,"Norman Gunston was originally conceived for a sketch by comedy writer **Wendy Skelcher** in *The Aunty Jack Show* in 1973, and **Garry McDonald** portrayed him. He was “a **satirical TV character**” and “**a dull and talentless local TV reporter** from the industrial city of Wollongong.”",pass
Which city is both the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,0,factual_retrieval,semantic,"I’m sorry, but the retrieved excerpts do not contain enough information to answer that question.",fail
"What did people call Stilwell, and what World War II theater was he assigned to as an American general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,1,multi_fact,semantic,"The excerpt does not say what people called Stilwell, but it does say he was assigned to the **China Theater** as an American general: Wedemeyer was sent “to proceed to China to assume command of the **China Theatre** and replace Stilwell.”",fail
What city serves as Mali's capital and largest urban center?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,1,factual_retrieval,semantic,"Bamako — the excerpt refers to it as one of Mali’s “three major cities” and as the center of the “Northern Bamako-Dakar Corridor,” but it does not explicitly say it is the capital and largest urban center.",fail
"Which people created Norman Gunston, and how is this television persona characterized?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,0,obscure_knowledge,semantic,"The excerpt does **not** say who created Norman Gunston. It only mentions that Norman Gunston was featured in shows involving **Garry McDonald**, so it suggests McDonald’s involvement, but it does not explicitly state creation.

The persona is described only indirectly in the excerpt as a **television character/persona** appearing in “**another Norman Gunston series**” and in “**The Garry McDonald Show**,” but no characterization such as personality traits is given in the provided text.

So, based on the excerpt alone: **insufficient information to identify the creators or characterize the persona in detail.**",fail
