question,grading_notes,retriever,response,score
"What injury caused Ben Darwin to retire from rugby, and in which match did it happen?","Correct answer must mention that he sustained a neck injury, and that it occurred during the Wallabies' Rugby World Cup semi-final win against the All Blacks.",hybrid,"Ben Darwin retired because he ""sustained a neck injury"" that ""forced him to retire from rugby."" It happened during ""the Wallabies' World Cup semi-final win against the All Blacks.""",pass
"What is the land area of Auckland Island, and what UNESCO designation does it have?",A correct answer must state that Auckland Island has a land area of about 442.5 km² (170.9 sq mi) and that it is inscribed on the UNESCO World Heritage list together with the other New Zealand Subantarctic Islands.,hybrid,Auckland Island has a land area of **about 442.5 km² (170.9 sq mi)**. It is **“inscribed in the UNESCO World Heritage list together with the other New Zealand Subantarctic Islands”**.,pass
"What does the title ""The O.C."" stand for, and what is the location in Southern California where the series is set?","Correct answer must state that ""O.C."" is an initialism for Orange County and identify Newport Beach / Orange County, California as the Southern California setting.",hybrid,"“The O.C.” is “an initialism of **Orange County**,” and the series is set in **Newport Beach, California**, in Southern California. The excerpt says: “The series title, ‘O.C.’, is an initialism of Orange County, the location in Southern California in which the series is set.”",pass
"When was Warner Records founded, and what company did it originally operate as a division of?","A correct answer must state that Warner Records was founded on March 19, 1958, and that it began as the recorded music division of Warner Bros. Pictures (the American film studio).",hybrid,"Warner Records was founded on **March 19, 1958**. It originally operated as the recorded music division of **Warner Bros. Pictures**: the excerpt says it “**was founded on March 19, 1958, as the recorded music division of the American film studio Warner Bros. Pictures**.”",pass
"Who led Forza Italia after Silvio Berlusconi's death in 2023, and what was his role in the party before that?",A correct answer must name Antonio Tajani and state that he had previously been vice president and coordinator (and now functions as secretary).,hybrid,"After Silvio Berlusconi’s death in 2023, Forza Italia was led by **Antonio Tajani**. The excerpt says: “**The party has since been led by Antonio Tajani ... who had been vice president and coordinator and now functions as secretary.**”",pass
What is the name of the retractable roof stadium in downtown Toronto that opened in 1989 and is home to the Toronto Blue Jays?,"Correct answer must identify Rogers Centre (originally SkyDome). It should mention that it is a retractable roof stadium in downtown Toronto, Ontario, Canada, and that it is home to the Toronto Blue Jays. The opening year 1989 may also be included.",hybrid,The stadium is **Rogers Centre**. The excerpt says: “**Rogers Centre (originally SkyDome) is a retractable roof stadium in downtown Toronto**” and that it “**Opened in 1989**” and “**is home to the Toronto Blue Jays**.”,pass
"Who designed Target House in London, and when was it designed and completed?","A correct answer must name Rodney Gordon of Tripos Architects as the designer, and include that the building was designed in 1979 and completed in 1984.",hybrid,"Target House in London was designed by **British modernist architect Rodney Gordon** of Tripos Architects. The article says, **“The building was designed in 1979 and completed in 1984.”**",pass
"What is Ypsilanti, Michigan known for being the home of since its founding in 1849?","Correct answers must identify Eastern Michigan University, and may mention that it was formerly called Michigan State Normal College or that it was Michigan’s first normal school (teachers’ college).",hybrid,Ypsilanti is known for being the home of **Eastern Michigan University** — the article says it has been “the home of Eastern Michigan University (formerly the Michigan State Normal College) since the university's founding as Michigan's first normal school (teachers' college) in 1849.”,pass
"What is Stewart Brand best known for, and what organizations did he found besides the Whole Earth Catalog?","A correct answer must state that he is best known as the co-founder and editor of the Whole Earth Catalog, and must mention at least one of the other organizations he founded: the WELL, the Global Business Network, and/or the Long Now Foundation.",hybrid,"Stewart Brand is “best known as the co-founder and editor of the Whole Earth Catalog.” Besides that, he founded “the WELL, the Global Business Network, and the Long Now Foundation.”",pass
"Who won the Eurovision Song Contest 2023, and with which song?","A correct answer must name Sweden as the winner and identify the song as ""Tattoo""; mentioning Loreen as the performer is also correct but not strictly required.",hybrid,"Sweden won the Eurovision Song Contest 2023 with the song **""Tattoo""**. The excerpt says: **""The winner was Sweden with the song 'Tattoo', performed by Loreen.""**",pass
