question,grading_notes,original_question,original_grading_notes,original_order,paraphrase_order,evaluation_category,retriever,response,score
Which Egyptian ruler was identified as the final native pharaoh in the lead?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,0,factual_retrieval,lexical,The lead identified **Nectanebo II** as the **last native king/pharaoh** of Egypt: “**Last native king Nectanebo II**” and “**The last native pharaoh was Nectanebo II**.”,pass
"By what nickname was Joseph Warren Stilwell known, and in which World War II theater did he serve as a U.S. Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,0,multi_fact,lexical,"Joseph Warren Stilwell was known as **""Vinegar Joe""**. He served as a U.S. Army general in the **China Burma India theater during World War II**.",pass
What is the exact opening sentence of the Wikipedia entry for the film '13' released in 2010?,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,1,quotation_fidelity,lexical,"I’m sorry, but the retrieved excerpts do not include the opening sentence of the Wikipedia entry for **13 (2010 film)**. The excerpts only show the page title and some footer/navigation text, not the article’s first sentence.",fail
Reproduce the first sentence of the '13 (2010 film)' Wikipedia article word for word.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,0,quotation_fidelity,lexical,"I’m sorry, but the retrieved excerpts do not contain the first sentence of the **13 (2010 film)** article, so I can’t reproduce it word for word from the provided material.",fail
"How many people currently live on Mars? If the corpus does not contain this information, say so explicitly.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,0,out_of_corpus_abstention,lexical,The corpus does not contain information about how many people currently live on Mars.,pass
What city serves as Mali's capital and largest urban center?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,1,factual_retrieval,lexical,Bamako — “Its capital and largest city is Bamako.”,pass
"What did people call Stilwell, and what World War II theater was he assigned to as an American general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,1,multi_fact,lexical,People called him **“Vinegar Joe”** — the excerpt says **“Joseph Warren ‘Vinegar Joe’ Stilwell”** — and as an American general he was assigned to the **China-Burma-India Theater (CBI)** during World War II.,pass
"Using the relevant Wikipedia articles, compare what Albert Einstein and Joseph Warren Stilwell were known for and the historical circumstances that influenced each of them. Include a quotation for both people.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,0,cross_document_synthesis,lexical,"Albert Einstein was known for his work in physics, especially “Theory of relativity,” “Special relativity,” “General relativity,” and “Mass–energy equivalence (E=mc2),” as well as the “photoelectric effect.” The excerpt also points to his broader scientific legacy through Nobel-related material and archival collections. A fitting quotation from the excerpt is: “Albert Einstein Archives at The Hebrew University of Jerusalem.”

Joseph Warren Stilwell was known as “a United States Army general who served in the China Burma India theater during World War II.” The excerpt says he “was an early American popular hero of the war for leading a column walking out of Burma on foot.” His career was shaped by the circumstances of World War II in Asia, including service under “Chiang Kai-shek” and conflict with Japanese forces, and his command was “marred by disputes with Chiang Kai-shek, Air Force commander Claire Chennault, and British commanders.” A quotation from the excerpt is: “After being defeated by the Japanese in 1942, Stilwell became an early American popular hero of the war for leading a column walking out of Burma on foot.”

In comparison, Einstein was a scientific figure whose fame came from groundbreaking theoretical physics, while Stilwell was a military leader whose reputation was formed in the context of World War II and the China-Burma-India theater.",pass
Does the available Wikipedia collection provide a current population figure for Mars? Explain the limitation instead of inventing a number.,A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,1,out_of_corpus_abstention,lexical,"The provided excerpts do **not** contain a current population figure for Mars. In fact, they only mention Mars in contexts like “Martian canals,” space missions, and colonization ideas, but **no excerpt gives a population count**.

So the limitation is: **there is no reliable population data for Mars in the retrieved Wikipedia collection, and I can’t invent a number.**",pass
"According to the article's opening text, who was Egypt's last pharaoh of native origin?",A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,1,factual_retrieval,lexical,"According to the article’s opening text, Egypt’s last pharaoh of native origin was **Nectanebo II** — the excerpt says: “**Last native king Nectanebo II**” and “**The last native pharaoh was Nectanebo II**.”",pass
