question,grading_notes,original_question,original_grading_notes,original_order,paraphrase_order,evaluation_category,retriever,response,score
Reproduce the first sentence of the '13 (2010 film)' Wikipedia article word for word.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,0,quotation_fidelity,semantic,"13 is a 2010 American psychological crime thriller film directed by Géla Babluani (who also directed the original), stars Sam Riley , Ray Winstone , 50 Cent , Mickey Rourke and Jason Statham .",fail
"Which two principal alliances opposed each other during World War II, according to the lead?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,0,multi_fact,semantic,"According to the lead, the two principal alliances were **the Allies** and **the Axis powers**. The excerpt says the Tripartite Pact “formally united Japan, Italy, and Germany as the **Axis powers**,” while later it refers to the Allied Big Four and other Allied governments.",pass
"Who were the creators of Norman Gunston, and what type of fictional TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,1,obscure_knowledge,semantic,"Norman Gunston was created by **Wendy Skelcher and Garry McDonald**. He was a **“satirical TV character”** — specifically, the excerpt says, **“Norman Gunston is a satirical TV character performed by Australian actor and comedian Garry McDonald.”**",pass
"By what nickname was Joseph Warren Stilwell known, and in which World War II theater did he serve as a U.S. Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,0,multi_fact,semantic,Joseph Warren Stilwell was known by the nickname **“Vinegar Joe”** — the excerpt says **“Joseph Warren ‘Vinegar Joe’ Stilwell”** — and he served in the **China Burma India theater** during World War II.,pass
"Which people created Norman Gunston, and how is this television persona characterized?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,"Who created the Norman Gunston character, and what kind of TV character was he?",A correct answer must identify Wendy Skelcher and Garry McDonald as the creators and describe Norman Gunston as a satirical fictional television character or persona.,3,0,obscure_knowledge,semantic,"Norman Gunston was “created by Wendy Skelcher and Garry McDonald.”

He is characterized as “a satirical TV character” and “a dull and talentless local TV reporter from the industrial city of Wollongong.” The excerpt also calls him “the unlikely host of his own national TV variety show.”",pass
"How did Einstein's and Stilwell's main contributions differ, and what historical settings shaped them? Cite one supporting passage from each person's article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,1,cross_document_synthesis,semantic,"The excerpts suggest that Einstein’s main contribution was scientific, while Stilwell’s was military leadership in wartime.

- For Einstein, the excerpt says he “began a line of thought that would eventually lead to his general theory of relativity,” which “became… the start of Einstein’s worldwide fame.” This places him in the historical setting of early 20th-century physics, especially relativity theory.

- For Stilwell, the excerpt says he “served three tours in China,” then in World War II he organized and trained the 7th Infantry Division, and later the article discusses his “World War II” role. This places him in the historical setting of the Second World War, especially U.S. military involvement in China and the Pacific theater.

So, Einstein contributed to theoretical physics in the context of relativity, while Stilwell contributed as a military officer in the context of World War II and China.",pass
"How many people currently live on Mars? If the corpus does not contain this information, say so explicitly.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,0,out_of_corpus_abstention,semantic,"The provided excerpts do not contain information about how many people currently live on Mars, so I can’t determine that from the corpus.",fail
"According to the article's opening text, who was Egypt's last pharaoh of native origin?",A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,1,factual_retrieval,semantic,"According to the article’s opening text, Egypt’s last pharaoh of native origin was **Nectanebo II**. The excerpt says: “**Last native king Nectanebo II c. 360–342 BC**” and “**The last native pharaoh was Nectanebo II**.”",pass
Does the available Wikipedia collection provide a current population figure for Mars? Explain the limitation instead of inventing a number.,A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,1,out_of_corpus_abstention,semantic,"No. The available excerpts do not provide any population figure for Mars. They only show article footer material and references to pages like “Apollo 11,” “Apollo 12,” and “List of Apollo missions,” plus an excerpt about Mars-related spacecraft categories. There is no current population data for Mars in the provided text, so I can’t infer or invent a number.",pass
What city serves as Mali's capital and largest urban center?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,1,factual_retrieval,semantic,"Bamako serves as Mali’s capital and largest city: the excerpt says, “Its capital and largest city is Bamako.”",pass
