question,grading_notes,original_question,original_grading_notes,original_order,paraphrase_order,evaluation_category,retriever,response,score
"Which two principal alliances opposed each other during World War II, according to the lead?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,"According to the lead text, what were the two main coalitions that fought in World War II?",A correct answer must name both the Allies and the Axis powers as the two main coalitions.,2,0,multi_fact,all,"According to the lead, the two principal alliances were the **Allies** and the **Axis powers**. The World War II excerpt names the war as involving “**the Allies and the Axis powers**.”",pass
Which Egyptian ruler was identified as the final native pharaoh in the lead?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,Who was the last native pharaoh of Egypt mentioned in the lead text?,A correct answer must identify Nectanebo II. It is acceptable to mention that he was the last native pharaoh and/or that he belonged to the short-lived 30th Dynasty.,1,0,factual_retrieval,all,"The excerpts do not state which ruler was identified as the final native pharaoh in the lead. They mention the Twenty-first Dynasty and list rulers such as Smendes I, Amenemnisu, Psusennes I, Amenemope, Osorkon ""the Elder,"" Siamun, and Psusennes II, but none is explicitly identified in the provided text as “the final native pharaoh in the lead.”",fail
"Using the relevant Wikipedia articles, compare what Albert Einstein and Joseph Warren Stilwell were known for and the historical circumstances that influenced each of them. Include a quotation for both people.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,0,cross_document_synthesis,all,"The provided excerpts do **not** contain any information about **Joseph Warren Stilwell**, so I can only answer for **Albert Einstein** from the excerpts.

- **Albert Einstein** was known for his scientific work. The excerpt says he was an award subject for “**scientific findings, works, or publications related to Albert Einstein**,” which reflects his significance in physics and science.
- The excerpted material also places him in a broader historical context through the award named after him, but it does **not** provide details about the historical circumstances that influenced his own life and work.

**Quotation for Albert Einstein:**
- “**scientific findings, works, or publications related to Albert Einstein**”

For **Joseph Warren Stilwell**, the documents provided do not include any relevant excerpt, so I can’t compare him accurately or quote from the supplied text.",fail
"By what nickname was Joseph Warren Stilwell known, and in which World War II theater did he serve as a U.S. Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,0,multi_fact,all,Joseph Warren Stilwell was known by the nickname **“Vinegar Joe”**. He served in the **China Burma India theater** during World War II: the excerpt says he “**served in the China Burma India theater during World War II**.”,pass
"How did Einstein's and Stilwell's main contributions differ, and what historical settings shaped them? Cite one supporting passage from each person's article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.","Compare Albert Einstein and Joseph Warren Stilwell. What was each person best known for, and what major historical context shaped their work? Support each answer with a quotation from the relevant Wikipedia article.","A complete answer must address both Einstein and Stilwell, explain what each was best known for, describe relevant historical context, and include one attributable quotation from each person's article. Do not award full credit for discussing only one person or for unsupported quotations.",6,1,cross_document_synthesis,all,"The provided excerpts do not contain enough information to answer this question.

- From **Albert Einstein Medal**, I can only quote that the medal is presented for **“scientific findings, works, or publications related to Albert Einstein”** and list recipients; it does **not** describe Einstein’s own main contributions.
- There is **no excerpt for Stilwell’s article** at all, so I cannot identify Stilwell’s main contributions or the historical setting that shaped them from the provided material.

If you provide the relevant excerpts for Einstein and Stilwell, I can compare them and quote supporting passages from each.",fail
Which city is both the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,What is the capital and largest city of Mali?,A correct answer must name Bamako as both the capital and largest city of Mali.,0,0,factual_retrieval,all,The capital and largest city of Mali is **Bamako**: “**Its capital and largest city is Bamako.**”,pass
"What did people call Stilwell, and what World War II theater was he assigned to as an American general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.","What was Joseph Warren Stilwell's nickname, and during which World War II theater did he serve as a United States Army general?","A complete answer must give Stilwell's nickname, 'Vinegar Joe,' and identify the China-Burma-India theater. Award partial credit only when one of these two required details is correct.",4,1,multi_fact,all,"People called Joseph Stilwell **“Vinegar Joe,” “Uncle Joe,” and “Stitch.”** The excerpt also says he served in the **“China Burma India theater during World War II.”**",pass
What is the exact opening sentence of the Wikipedia entry for the film '13' released in 2010?,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,1,quotation_fidelity,all,"I’m sorry, but the provided excerpts do not contain the Wikipedia entry for the film **13 (2010)**, so I can’t give the exact opening sentence from them.",fail
"How many people currently live on Mars? If the corpus does not contain this information, say so explicitly.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,"What is the current population of Mars, according to the latest available information? If this fact is not supported by the Wikipedia corpus, clearly state that the corpus does not provide the answer.",A grounded answer must recognize that Mars has no human population and that the corpus does not provide a current population figure. Do not award full credit for inventing a current population or presenting an unsupported external estimate as a corpus answer.,7,0,out_of_corpus_abstention,all,The provided excerpts do not contain information about how many people currently live on Mars.,pass
Reproduce the first sentence of the '13 (2010 film)' Wikipedia article word for word.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",Quote the opening sentence of the Wikipedia article titled '13 (2010 film)' exactly as written.,"A correct answer must reproduce the article's opening sentence verbatim, preserving its meaning and identifying details. Paraphrases or invented quotations are not fully correct.",5,0,quotation_fidelity,all,"I’m sorry, but the provided excerpts do not contain the Wikipedia article for **“13 (2010 film)”**, so I can’t reproduce its first sentence from the given text.",fail
